NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMB9	99	9.425493240356445	0.0484752	Yes	
row_1	CCNA1	122	9.21359634399414	0.1014575	Yes	
row_2	PSMB8	264	8.259130477905273	0.13987342	Yes	
row_3	PSME2	346	7.657662391662598	0.17921415	Yes	
row_4	PSME1	537	6.298951148986816	0.20234016	Yes	
row_5	PSMB10	590	6.017701148986816	0.23412794	Yes	
row_6	PSMA3	593	6.0037455558776855	0.26957548	Yes	
row_7	CCNA2	625	5.840149879455566	0.3018824	Yes	
row_8	PSMA6	636	5.79927921295166	0.3355188	Yes	
row_9	UBB	668	5.636346817016602	0.36661732	Yes	
row_10	PSMA5	712	5.397634983062744	0.39540225	Yes	
row_11	PSMD5	760	5.157166481018066	0.42246205	Yes	
row_12	PSMA7	887	4.634607791900635	0.44051027	Yes	
row_13	PSMA4	928	4.46769380569458	0.464006	Yes	
row_14	CCNB1	1078	3.936640977859497	0.47619432	Yes	
row_15	PSMC3	1112	3.77593994140625	0.49611247	Yes	
row_16	PSMB7	1168	3.621647834777832	0.5134691	Yes	
row_17	PSMC2	1210	3.5091092586517334	0.5312063	Yes	
row_18	PSME3	1219	3.4764320850372314	0.5512199	Yes	
row_19	PSMD7	1235	3.4283106327056885	0.5704242	Yes	
row_20	PSMD1	1243	3.389864206314087	0.5899993	Yes	
row_21	PSMD11	1277	3.2854020595550537	0.607009	Yes	
row_22	CDC27	1325	3.1383228302001953	0.6220987	Yes	
row_23	PTTG1	1478	2.7529184818267822	0.62704396	Yes	
row_24	PSMB1	1579	2.525925874710083	0.63453555	Yes	
row_25	CDC20	1680	2.3567447662353516	0.6410241	Yes	
row_26	PSMD10	1683	2.35162615776062	0.6548176	Yes	
row_27	CDC26	1870	2.0188605785369873	0.6528656	Yes	
row_28	PSMD12	1875	2.012984037399292	0.66450155	Yes	
row_29	PSMB2	1945	1.8997857570648193	0.670601	Yes	
row_30	PSMC4	2096	1.751251220703125	0.66975695	Yes	
row_31	ANAPC7	2119	1.7241644859313965	0.6783331	Yes	
row_32	PLK1	2191	1.6224143505096436	0.68263835	Yes	
row_33	PSMC6	2267	1.5402107238769531	0.68615675	Yes	
row_34	UBE2C	2357	1.4422404766082764	0.68804634	Yes	
row_35	PSMD4	2416	1.3971736431121826	0.6919891	Yes	
row_36	PSMA2	2431	1.383334994316101	0.69914323	Yes	
row_37	PSMB5	2439	1.3760039806365967	0.7067779	Yes	
row_38	PSMC1	2446	1.3712037801742554	0.7144588	Yes	
row_39	CDC16	2453	1.3637797832489014	0.72209585	Yes	
row_40	UBE2D1	2525	1.2966350317001343	0.7244694	Yes	
row_41	PSMC5	2750	1.127943754196167	0.71439075	No	
row_42	PSMD3	2820	1.0825564861297607	0.7156447	No	
row_43	PSMA1	2979	0.9593647122383118	0.70950663	No	
row_44	PSMD14	3012	0.9385631680488586	0.71267635	No	
row_45	BUB3	3251	0.8213716745376587	0.699732	No	
row_46	PSMD13	3350	0.7682904601097107	0.696952	No	
row_47	PSMB6	3455	0.727927565574646	0.6934836	No	
row_48	SEM1	3494	0.7133800983428955	0.69486904	No	
row_49	PSMD6	3533	0.6927618980407715	0.6961322	No	
row_50	ANAPC4	4350	0.4370112419128418	0.6376455	No	
row_51	UBE2E1	4450	0.41257795691490173	0.63268155	No	
row_52	CDK1	4475	0.4073656499385834	0.6333005	No	
row_53	NEK2	4880	0.3241007924079895	0.6049826	No	
row_54	CDC23	5207	0.26257824897766113	0.5821383	No	
row_55	PSMD9	5253	0.2544296383857727	0.5802786	No	
row_56	PSMB4	5466	0.21685664355754852	0.5656961	No	
row_57	BUB1B	5806	0.16710838675498962	0.54131263	No	
row_58	ANAPC15	5885	0.15617014467716217	0.5364003	No	
row_59	ANAPC10	6017	0.139628604054451	0.5274228	No	
row_60	ANAPC2	6047	0.13577386736869812	0.5260572	No	
row_61	PSMF1	6283	0.1075105294585228	0.5091048	No	
row_62	ANAPC11	7467	0.007263551000505686	0.42059994	No	
row_63	MAD2L1	7620	-0.002714744536206126	0.4092388	No	
row_64	ANAPC1	7907	-0.023321984335780144	0.38796988	No	
row_65	PSME4	8629	-0.09435483813285828	0.33456227	No	
row_66	UBE2S	8821	-0.11919541656970978	0.3209726	No	
row_67	PSMD8	8945	-0.13438788056373596	0.31256282	No	
row_68	PSMD2	9070	-0.15051917731761932	0.30417383	No	
row_69	RPS27A	9441	-0.21117375791072845	0.2777313	No	
row_70	ANAPC16	9934	-0.3423858880996704	0.24293502	No	
row_71	UBC	10457	-0.5465773344039917	0.20710391	No	
row_72	ANAPC5	11419	-1.2632365226745605	0.14266272	No	
row_73	UBA52	11485	-1.3510831594467163	0.14580826	No	
