NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF4A1	2555	1.25845205783844	-0.18040664	No	
row_1	EIF1AX	2837	1.069824457168579	-0.19240776	No	
row_2	EIF2S1	3003	0.9483145475387573	-0.19676007	No	
row_3	EIF3J	3627	0.6588496565818787	-0.23778678	No	
row_4	RPS27L	4790	0.3397424817085266	-0.32179257	No	
row_5	EIF4G1	5115	0.27894219756126404	-0.34366527	No	
row_6	EIF3M	5578	0.2003212571144104	-0.376516	No	
row_7	EIF4E	5657	0.18795791268348694	-0.3807648	No	
row_8	RPS19	5891	0.15612712502479553	-0.3968686	No	
row_9	EIF3I	6002	0.1417396366596222	-0.40389857	No	
row_10	EIF2S2	6298	0.10632472485303879	-0.42505637	No	
row_11	EIF3K	7123	0.03320995345711708	-0.4863751	No	
row_12	EIF3G	7674	-0.006466553080826998	-0.527436	No	
row_13	RPS14	7900	-0.02286824770271778	-0.54406345	No	
row_14	RPS26	8205	-0.04904789850115776	-0.56637615	No	
row_15	EIF3A	8714	-0.10426106303930283	-0.6034742	No	
row_16	RPS27A	9441	-0.21117375791072845	-0.6559689	No	
row_17	EIF3D	9758	-0.2852939963340759	-0.6771901	No	
row_18	EIF4A2	10875	-0.7620444893836975	-0.75420254	No	
row_19	FAU	10905	-0.7829902172088623	-0.7497797	No	
row_20	RPS15	11066	-0.895615816116333	-0.7542018	No	
row_21	RPS24	11201	-1.0123951435089111	-0.75569737	No	
row_22	RPS21	11480	-1.3400490283966064	-0.76519966	Yes	
row_23	RPS12	11516	-1.376637578010559	-0.75622845	Yes	
row_24	EIF3C	11690	-1.6093120574951172	-0.75561494	Yes	
row_25	RPS13	11706	-1.623005986213684	-0.74307483	Yes	
row_26	RPS3	11730	-1.67835533618927	-0.73066694	Yes	
row_27	RPS29	11734	-1.6893092393875122	-0.7166717	Yes	
row_28	EIF3B	11811	-1.8111510276794434	-0.707108	Yes	
row_29	RPS6	11847	-1.8637542724609375	-0.69403654	Yes	
row_30	RPS23	11988	-2.1111056804656982	-0.68673235	Yes	
row_31	RPS10	12091	-2.309427499771118	-0.6749181	Yes	
row_32	EIF4H	12170	-2.511059522628784	-0.6596126	Yes	
row_33	EIF2S3	12227	-2.6665847301483154	-0.6413533	Yes	
row_34	RPS15A	12258	-2.7330992221832275	-0.6205905	Yes	
row_35	RPS25	12274	-2.7704403400421143	-0.59839207	Yes	
row_36	RPS11	12288	-2.8069539070129395	-0.5757368	Yes	
row_37	RPS5	12310	-2.8434810638427734	-0.5533721	Yes	
row_38	RPS16	12370	-3.0238497257232666	-0.53232986	Yes	
row_39	RPS9	12407	-3.1494381427764893	-0.5085111	Yes	
row_40	EIF3F	12433	-3.243927001953125	-0.48307472	Yes	
row_41	RPS2	12449	-3.295194149017334	-0.45645925	Yes	
row_42	RPS7	12470	-3.3674933910369873	-0.429609	Yes	
row_43	RPS4X	12476	-3.3888471126556396	-0.40145767	Yes	
row_44	RPS27	12488	-3.4427130222320557	-0.37330148	Yes	
row_45	RPS18	12527	-3.5865318775177	-0.34595308	Yes	
row_46	EIF4EBP1	12551	-3.6726529598236084	-0.31675845	Yes	
row_47	PABPC1	12589	-3.8049466609954834	-0.28749683	Yes	
row_48	RPS20	12612	-3.9068212509155273	-0.25625637	Yes	
row_49	RPS28	12649	-4.0779032707214355	-0.22462244	Yes	
row_50	EIF3H	12668	-4.2060322761535645	-0.1905644	Yes	
row_51	RPS3A	12704	-4.355922698974609	-0.15651551	Yes	
row_52	RPS8	12721	-4.435816287994385	-0.120373785	Yes	
row_53	EIF4B	12749	-4.589596748352051	-0.08375994	Yes	
row_54	EIF3L	12785	-4.6849045753479	-0.046941902	Yes	
row_55	EIF3E	12853	-4.986444473266602	-0.009977863	Yes	
row_56	RPSA	13105	-6.327545642852783	0.024519738	Yes	
