NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMB9	99	9.425493240356445	0.04488575	Yes	
row_1	CCNA1	122	9.21359634399414	0.09436391	Yes	
row_2	PSMB8	264	8.259130477905273	0.1296312	Yes	
row_3	PSME2	346	7.657662391662598	0.1660557	Yes	
row_4	PSME1	537	6.298951148986816	0.18677528	Yes	
row_5	PSMB10	590	6.017701148986816	0.21627206	Yes	
row_6	PSMA3	593	6.0037455558776855	0.249437	Yes	
row_7	CCNA2	625	5.840149879455566	0.2795217	Yes	
row_8	PSMA6	636	5.79927921295166	0.31095278	Yes	
row_9	UBB	668	5.636346817016602	0.33990657	Yes	
row_10	PSMA5	712	5.397634983062744	0.3666368	Yes	
row_11	PSMD5	760	5.157166481018066	0.39173308	Yes	
row_12	PSMA7	887	4.634607791900635	0.4080116	Yes	
row_13	PSMA4	928	4.46769380569458	0.42980632	Yes	
row_14	SKP2	962	4.3466339111328125	0.4514537	Yes	
row_15	CCNB1	1078	3.936640977859497	0.4646832	Yes	
row_16	PSMC3	1112	3.77593994140625	0.4831638	Yes	
row_17	PSMB7	1168	3.621647834777832	0.49914017	Yes	
row_18	PSMC2	1210	3.5091092586517334	0.5155408	Yes	
row_19	PSME3	1219	3.4764320850372314	0.5342322	Yes	
row_20	PSMD7	1235	3.4283106327056885	0.55213225	Yes	
row_21	PSMD1	1243	3.389864206314087	0.5704182	Yes	
row_22	PSMD11	1277	3.2854020595550537	0.5861768	Yes	
row_23	CDC27	1325	3.1383228302001953	0.6000705	Yes	
row_24	PTTG1	1478	2.7529184818267822	0.6039598	Yes	
row_25	PSMB1	1579	2.525925874710083	0.61048496	Yes	
row_26	CDC20	1680	2.3567447662353516	0.61607134	Yes	
row_27	PSMD10	1683	2.35162615776062	0.6289707	Yes	
row_28	CDC26	1870	2.0188605785369873	0.62623966	Yes	
row_29	AURKA	1873	2.0148463249206543	0.6372702	Yes	
row_30	PSMD12	1875	2.012984037399292	0.6483654	Yes	
row_31	PSMB2	1945	1.8997857570648193	0.6537383	Yes	
row_32	FBXO5	2083	1.7569806575775146	0.6532249	Yes	
row_33	PSMC4	2096	1.751251220703125	0.66204363	Yes	
row_34	ANAPC7	2119	1.7241644859313965	0.66996294	Yes	
row_35	PLK1	2191	1.6224143505096436	0.673647	Yes	
row_36	PSMC6	2267	1.5402107238769531	0.6765752	Yes	
row_37	UBE2C	2357	1.4422404766082764	0.67791104	Yes	
row_38	PSMD4	2416	1.3971736431121826	0.68131906	Yes	
row_39	PSMA2	2431	1.383334994316101	0.6879464	Yes	
row_40	PSMB5	2439	1.3760039806365967	0.69505745	Yes	
row_41	PSMC1	2446	1.3712037801742554	0.7022168	Yes	
row_42	CDC16	2453	1.3637797832489014	0.7093349	Yes	
row_43	UBE2D1	2525	1.2966350317001343	0.7112112	Yes	
row_44	AURKB	2719	1.1449711322784424	0.70310664	Yes	
row_45	CDC14A	2747	1.1295911073684692	0.7073521	Yes	
row_46	PSMC5	2750	1.127943754196167	0.7134612	Yes	
row_47	PSMD3	2820	1.0825564861297607	0.71429944	Yes	
row_48	PSMA1	2979	0.9593647122383118	0.70778686	No	
row_49	PSMD14	3012	0.9385631680488586	0.71059775	No	
row_50	BUB3	3251	0.8213716745376587	0.6973265	No	
row_51	PSMD13	3350	0.7682904601097107	0.6942483	No	
row_52	PSMB6	3455	0.727927565574646	0.69049674	No	
row_53	CUL1	3476	0.7208150029182434	0.69299835	No	
row_54	SEM1	3494	0.7133800983428955	0.69568336	No	
row_55	PSMD6	3533	0.6927618980407715	0.69668084	No	
row_56	ANAPC4	4350	0.4370112419128418	0.63797766	No	
row_57	UBE2E1	4450	0.41257795691490173	0.63285077	No	
row_58	CDK1	4475	0.4073656499385834	0.63331336	No	
row_59	NEK2	4880	0.3241007924079895	0.6048473	No	
row_60	CDC23	5207	0.26257824897766113	0.5818831	No	
row_61	PSMD9	5253	0.2544296383857727	0.57992387	No	
row_62	PSMB4	5466	0.21685664355754852	0.56524587	No	
row_63	BUB1B	5806	0.16710838675498962	0.540778	No	
row_64	ANAPC15	5885	0.15617014467716217	0.5358014	No	
row_65	ANAPC10	6017	0.139628604054451	0.5267628	No	
row_66	ANAPC2	6047	0.13577386736869812	0.5253437	No	
row_67	PSMF1	6283	0.1075105294585228	0.508336	No	
row_68	BTRC	7124	0.03320995345711708	0.4455942	No	
row_69	CDK2	7305	0.017888328060507774	0.4322093	No	
row_70	ANAPC11	7467	0.007263551000505686	0.42018878	No	
row_71	MAD2L1	7620	-0.002714744536206126	0.40881723	No	
row_72	ANAPC1	7907	-0.023321984335780144	0.3875218	No	
row_73	RB1	8179	-0.046297118067741394	0.36747757	No	
row_74	PSME4	8629	-0.09435483813285828	0.33436567	No	
row_75	UBE2S	8821	-0.11919541656970978	0.32071888	No	
row_76	PSMD8	8945	-0.13438788056373596	0.31225044	No	
row_77	SKP1	8980	-0.13798588514328003	0.31046912	No	
row_78	PSMD2	9070	-0.15051917731761932	0.3046372	No	
row_79	FZR1	9415	-0.2059381604194641	0.28001022	No	
row_80	RPS27A	9441	-0.21117375791072845	0.2793092	No	
row_81	ANAPC16	9934	-0.3423858880996704	0.24435242	No	
row_82	UBC	10457	-0.5465773344039917	0.20828132	No	
row_83	ANAPC5	11419	-1.2632365226745605	0.14330061	No	
row_84	UBA52	11485	-1.3510831594467163	0.14592849	No	
