NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMB9	99	9.425493240356445	0.053126473	Yes	
row_1	PSMB8	264	8.259130477905273	0.093897834	Yes	
row_2	PSME2	346	7.657662391662598	0.13701746	Yes	
row_3	PSME1	537	6.298951148986816	0.16325395	Yes	
row_4	PSMB10	590	6.017701148986816	0.19801114	Yes	
row_5	PSMA3	593	6.0037455558776855	0.23642038	Yes	
row_6	PSMA6	636	5.79927921295166	0.2705231	Yes	
row_7	UBB	668	5.636346817016602	0.30440253	Yes	
row_8	PSMA5	712	5.397634983062744	0.33585086	Yes	
row_9	PSMD5	760	5.157166481018066	0.36545548	Yes	
row_10	PSMA7	887	4.634607791900635	0.3857921	Yes	
row_11	PSMA4	928	4.46769380569458	0.4114924	Yes	
row_12	SKP2	962	4.3466339111328125	0.43693906	Yes	
row_13	PSMC3	1112	3.77593994140625	0.45003974	Yes	
row_14	PSMB7	1168	3.621647834777832	0.46918383	Yes	
row_15	PSMC2	1210	3.5091092586517334	0.48865283	Yes	
row_16	PSME3	1219	3.4764320850372314	0.51038146	Yes	
row_17	PSMD7	1235	3.4283106327056885	0.5312772	Yes	
row_18	PSMD1	1243	3.389864206314087	0.5525247	Yes	
row_19	PSMD11	1277	3.2854020595550537	0.57115555	Yes	
row_20	CDC27	1325	3.1383228302001953	0.5877942	Yes	
row_21	PTTG1	1478	2.7529184818267822	0.59410006	Yes	
row_22	PSMB1	1579	2.525925874710083	0.6028394	Yes	
row_23	CDC20	1680	2.3567447662353516	0.61049217	Yes	
row_24	PSMD10	1683	2.35162615776062	0.6254458	Yes	
row_25	CDC26	1870	2.0188605785369873	0.6244928	Yes	
row_26	AURKA	1873	2.0148463249206543	0.63728344	Yes	
row_27	PSMD12	1875	2.012984037399292	0.65013695	Yes	
row_28	PSMB2	1945	1.8997857570648193	0.65717477	Yes	
row_29	PSMC4	2096	1.751251220703125	0.6571971	Yes	
row_30	ANAPC7	2119	1.7241644859313965	0.6666242	Yes	
row_31	PLK1	2191	1.6224143505096436	0.67173094	Yes	
row_32	PSMC6	2267	1.5402107238769531	0.6760104	Yes	
row_33	UBE2C	2357	1.4422404766082764	0.67861295	Yes	
row_34	PSMD4	2416	1.3971736431121826	0.6832459	Yes	
row_35	PSMA2	2431	1.383334994316101	0.69108266	Yes	
row_36	PSMB5	2439	1.3760039806365967	0.6993962	Yes	
row_37	PSMC1	2446	1.3712037801742554	0.7077537	Yes	
row_38	CDC16	2453	1.3637797832489014	0.71606356	Yes	
row_39	UBE2D1	2525	1.2966350317001343	0.71907794	Yes	
row_40	AURKB	2719	1.1449711322784424	0.7119886	No	
row_41	PSMC5	2750	1.127943754196167	0.71698785	No	
row_42	PSMD3	2820	1.0825564861297607	0.718777	No	
row_43	PSMA1	2979	0.9593647122383118	0.7131148	No	
row_44	PSMD14	3012	0.9385631680488586	0.71674806	No	
row_45	PSMD13	3350	0.7682904601097107	0.69646347	No	
row_46	PSMB6	3455	0.727927565574646	0.6933559	No	
row_47	SEM1	3494	0.7133800983428955	0.69509387	No	
row_48	PSMD6	3533	0.6927618980407715	0.69669944	No	
row_49	ANAPC4	4350	0.4370112419128418	0.63844204	No	
row_50	UBE2E1	4450	0.41257795691490173	0.63368326	No	
row_51	CDC23	5207	0.26257824897766113	0.57879555	No	
row_52	PSMD9	5253	0.2544296383857727	0.57706213	No	
row_53	PSMB4	5466	0.21685664355754852	0.5625902	No	
row_54	ANAPC15	5885	0.15617014467716217	0.5323128	No	
row_55	ANAPC10	6017	0.139628604054451	0.5234063	No	
row_56	ANAPC2	6047	0.13577386736869812	0.5221082	No	
row_57	PSMF1	6283	0.1075105294585228	0.5052128	No	
row_58	ANAPC11	7467	0.007263551000505686	0.41673142	No	
row_59	ANAPC1	7907	-0.023321984335780144	0.3840293	No	
row_60	RB1	8179	-0.046297118067741394	0.36404678	No	
row_61	PSME4	8629	-0.09435483813285828	0.33105254	No	
row_62	UBE2S	8821	-0.11919541656970978	0.31752485	No	
row_63	PSMD8	8945	-0.13438788056373596	0.30918345	No	
row_64	PSMD2	9070	-0.15051917731761932	0.3008708	No	
row_65	FZR1	9415	-0.2059381604194641	0.2764507	No	
row_66	RPS27A	9441	-0.21117375791072845	0.27593613	No	
row_67	ANAPC16	9934	-0.3423858880996704	0.24131702	No	
row_68	UBC	10457	-0.5465773344039917	0.20576431	No	
row_69	ANAPC5	11419	-1.2632365226745605	0.14196242	No	
row_70	UBA52	11485	-1.3510831594467163	0.14577554	No	
