NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL22L1	1608	2.4702391624450684	-0.112894826	No	
row_1	SLC38A9	1755	2.197006940841675	-0.11665608	No	
row_2	CEBPG	1765	2.169698476791382	-0.11019633	No	
row_3	MIOS	1921	1.9323805570602417	-0.115505405	No	
row_4	SESN2	2245	1.561521291732788	-0.13467835	No	
row_5	ATP6V0D1	2503	1.3212701082229614	-0.14967431	No	
row_6	EIF2S1	3003	0.9483145475387573	-0.18411039	No	
row_7	IMPACT	3349	0.7682904601097107	-0.20754836	No	
row_8	CASTOR1	3364	0.7622326612472534	-0.20609471	No	
row_9	SEC13	4126	0.4880892038345337	-0.2617632	No	
row_10	RPL39L	4506	0.4006569981575012	-0.28896937	No	
row_11	EIF2AK4	4685	0.3582455813884735	-0.3011875	No	
row_12	RPS27L	4790	0.3397424817085266	-0.30789712	No	
row_13	RPL26L1	4848	0.32861843705177307	-0.31110606	No	
row_14	GCN1	5084	0.2866552770137787	-0.3278496	No	
row_15	ASNS	5214	0.2606354057788849	-0.33670098	No	
row_16	MTOR	5266	0.25292840600013733	-0.33970731	No	
row_17	RPL36AL	5312	0.24372194707393646	-0.34229237	No	
row_18	LAMTOR2	5342	0.23948411643505096	-0.3436872	No	
row_19	LAMTOR1	5537	0.20565183460712433	-0.35761145	No	
row_20	RPS19	5891	0.15612712502479553	-0.3836652	No	
row_21	RHEB	6297	0.1065678820014	-0.41379556	No	
row_22	EIF2S2	6298	0.10632472485303879	-0.41344583	No	
row_23	ATP6V1E2	6462	0.09141658246517181	-0.42541274	No	
row_24	SESN1	6786	0.05827619507908821	-0.4495305	No	
row_25	SZT2	6909	0.04904584959149361	-0.45855108	No	
row_26	RPL35	6981	0.04188153147697449	-0.4637569	No	
row_27	ATP6V0E2	7127	0.03318268433213234	-0.47456068	No	
row_28	RRAGB	7684	-0.007263551000505686	-0.51638216	No	
row_29	NPRL3	7728	-0.010470420122146606	-0.519584	No	
row_30	RPS14	7900	-0.02286824770271778	-0.5323785	No	
row_31	RPS26	8205	-0.04904789850115776	-0.5550966	No	
row_32	ATF4	8408	-0.07097584009170532	-0.57006603	No	
row_33	LAMTOR4	8736	-0.10707845538854599	-0.5943243	No	
row_34	KICS2	8760	-0.10941938310861588	-0.5956954	No	
row_35	KPTN	8931	-0.13333247601985931	-0.60805124	No	
row_36	WDR24	9168	-0.1621488779783249	-0.6252796	No	
row_37	TCIRG1	9263	-0.17901316285133362	-0.6317653	No	
row_38	ATP6V0B	9330	-0.18938660621643066	-0.6361096	No	
row_39	RPL12	9332	-0.18950848281383514	-0.63556147	No	
row_40	ATP6V0E1	9368	-0.19567982852458954	-0.63755196	No	
row_41	DEPDC5	9393	-0.20275117456912994	-0.6386913	No	
row_42	RPS27A	9441	-0.21117375791072845	-0.641534	No	
row_43	ATP6V1C2	9445	-0.2121300846338272	-0.64106196	No	
row_44	ATP6V1G1	9497	-0.2222682386636734	-0.64416915	No	
row_45	ATP6V0C	9599	-0.2494182288646698	-0.65095013	No	
row_46	SEH1L	9661	-0.2639694809913635	-0.65467274	No	
row_47	NPRL2	9877	-0.3250694274902344	-0.66978467	No	
row_48	ITFG2	10033	-0.36958953738212585	-0.6802345	No	
row_49	ATP6V1A	10238	-0.44737598299980164	-0.69411623	No	
row_50	SH3BP4	10325	-0.48108217120170593	-0.6990062	No	
row_51	CEBPB	10335	-0.4871129095554352	-0.69808125	No	
row_52	ATP6V1G2	10405	-0.5196652412414551	-0.70156485	No	
row_53	LAMTOR3	10733	-0.6847915649414062	-0.7239228	No	
row_54	ATF3	10738	-0.6877683997154236	-0.7219615	No	
row_55	FAU	10905	-0.7829902172088623	-0.7318793	No	
row_56	RPLP2	10925	-0.7973757982254028	-0.7306863	No	
row_57	RPS15	11066	-0.895615816116333	-0.7382769	No	
row_58	RPS24	11201	-1.0123951435089111	-0.7450317	No	
row_59	RPL10A	11226	-1.0570340156555176	-0.74336094	No	
row_60	ATP6V1H	11321	-1.168809413909912	-0.7465908	Yes	
row_61	RPL27	11368	-1.2217673063278198	-0.74603385	Yes	
row_62	LAMTOR5	11430	-1.281433343887329	-0.7464096	Yes	
row_63	WDR59	11437	-1.2903918027877808	-0.74261653	Yes	
row_64	RPL19	11452	-1.3151278495788574	-0.7393441	Yes	
row_65	RPS21	11480	-1.3400490283966064	-0.73696816	Yes	
row_66	UBA52	11485	-1.3510831594467163	-0.7328249	Yes	
row_67	RPS12	11516	-1.376637578010559	-0.7305544	Yes	
row_68	RPL30	11589	-1.46909761428833	-0.7311407	Yes	
row_69	RPTOR	11671	-1.5912972688674927	-0.7320024	Yes	
row_70	RPS13	11706	-1.623005986213684	-0.7292225	Yes	
row_71	RPS3	11730	-1.67835533618927	-0.72543263	Yes	
row_72	RPS29	11734	-1.6893092393875122	-0.72010154	Yes	
row_73	RPL7A	11755	-1.7281849384307861	-0.715922	Yes	
row_74	ATF2	11786	-1.7631924152374268	-0.71237993	Yes	
row_75	ATP6V1F	11814	-1.8140956163406372	-0.70844465	Yes	
row_76	RPS6	11847	-1.8637542724609375	-0.7047223	Yes	
row_77	RRAGA	11869	-1.9157849550247192	-0.7000009	Yes	
row_78	RPL28	11878	-1.9308435916900635	-0.6942516	Yes	
row_79	RPL21	11886	-1.9417338371276855	-0.6883912	Yes	
row_80	RPL24	11934	-2.017127513885498	-0.68529326	Yes	
row_81	RPL38	11959	-2.0621509552001953	-0.6803162	Yes	
row_82	RPS23	11988	-2.1111056804656982	-0.6754792	Yes	
row_83	RPL15	11997	-2.126142978668213	-0.6690874	Yes	
