NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS6KA1	1515	2.6727640628814697	-0.1005081	No	
row_1	MRPL19	2430	1.3850977420806885	-0.16224562	No	
row_2	RPS6KB2	5805	0.16714169085025787	-0.41409472	No	
row_3	RPS19	5891	0.15612712502479553	-0.4197039	No	
row_4	RPL35	6981	0.04188153147697449	-0.50104976	No	
row_5	RPS14	7900	-0.02286824770271778	-0.5696825	No	
row_6	RPS6KB1	7994	-0.031056901440024376	-0.5764963	No	
row_7	RPS26	8205	-0.04904789850115776	-0.59198445	No	
row_8	RPL12	9332	-0.18950848281383514	-0.6753862	No	
row_9	RPS27A	9441	-0.21117375791072845	-0.6824512	No	
row_10	RPS6KA6	10318	-0.4780546724796295	-0.7457348	No	
row_11	RPLP2	10925	-0.7973757982254028	-0.78725374	No	
row_12	RPS15	11066	-0.895615816116333	-0.79340106	No	
row_13	RPS24	11201	-1.0123951435089111	-0.7985337	No	
row_14	RPL10A	11226	-1.0570340156555176	-0.7952129	No	
row_15	RPL27	11368	-1.2217673063278198	-0.799856	Yes	
row_16	RPL19	11452	-1.3151278495788574	-0.7997037	Yes	
row_17	RPS21	11480	-1.3400490283966064	-0.7952373	Yes	
row_18	RPS6KA2	11509	-1.3716119527816772	-0.7906929	Yes	
row_19	RPS12	11516	-1.376637578010559	-0.7844768	Yes	
row_20	RPL30	11589	-1.46909761428833	-0.7827554	Yes	
row_21	RPS6KA3	11597	-1.4775378704071045	-0.77612555	Yes	
row_22	RPS13	11706	-1.623005986213684	-0.77635473	Yes	
row_23	RPS3	11730	-1.67835533618927	-0.76995075	Yes	
row_24	RPS29	11734	-1.6893092393875122	-0.76199603	Yes	
row_25	RPL7A	11755	-1.7281849384307861	-0.7551262	Yes	
row_26	RPS6	11847	-1.8637542724609375	-0.75291663	Yes	
row_27	RPL28	11878	-1.9308435916900635	-0.7458143	Yes	
row_28	RPL21	11886	-1.9417338371276855	-0.736937	Yes	
row_29	RPL38	11959	-2.0621509552001953	-0.7323441	Yes	
row_30	RPS23	11988	-2.1111056804656982	-0.7242192	Yes	
row_31	RPL15	11997	-2.126142978668213	-0.71452385	Yes	
row_32	RPL37	12039	-2.210381031036377	-0.70689183	Yes	
row_33	RPL23A	12052	-2.240267515182495	-0.69694346	Yes	
row_34	RPL8	12053	-2.240267515182495	-0.6860965	Yes	
row_35	RPL39	12090	-2.3081893920898438	-0.6776164	Yes	
row_36	RPS10	12091	-2.309427499771118	-0.6664346	Yes	
row_37	RPL6	12131	-2.4115078449249268	-0.65767896	Yes	
row_38	RPLP0	12151	-2.4509427547454834	-0.64723474	Yes	
row_39	RPL18A	12176	-2.5368850231170654	-0.6367488	Yes	
row_40	RPLP1	12184	-2.54803466796875	-0.62493587	Yes	
row_41	RPL7	12187	-2.553942918777466	-0.6127199	Yes	
row_42	RPL4	12199	-2.5930979251861572	-0.60098827	Yes	
row_43	RPS25	12274	-2.7704403400421143	-0.5931157	Yes	
row_44	RPS11	12288	-2.8069539070129395	-0.5804984	Yes	
row_45	RPL27A	12297	-2.8155601024627686	-0.567465	Yes	
row_46	RPL18	12305	-2.8328404426574707	-0.5542731	Yes	
row_47	RPS5	12310	-2.8434810638427734	-0.540805	Yes	
row_48	RPL26	12334	-2.921002149581909	-0.5283843	Yes	
row_49	RPS16	12370	-3.0238497257232666	-0.51636434	Yes	
row_50	RPS9	12407	-3.1494381427764893	-0.5038111	Yes	
row_51	RPS2	12449	-3.295194149017334	-0.49092662	Yes	
row_52	RPS7	12470	-3.3674933910369873	-0.4761195	Yes	
row_53	RPS4X	12476	-3.3888471126556396	-0.46008572	Yes	
row_54	RPL14	12486	-3.432732343673706	-0.44413897	Yes	
row_55	RPS27	12488	-3.4427130222320557	-0.42754483	Yes	
row_56	RPL41	12502	-3.497469902038574	-0.4115842	Yes	
row_57	RPL13	12515	-3.539088010787964	-0.39534715	Yes	
row_58	RPS18	12527	-3.5865318775177	-0.37880552	Yes	
row_59	RPL34	12548	-3.6634202003479004	-0.36256558	Yes	
row_60	RPL35A	12599	-3.839956760406494	-0.34771737	Yes	
row_61	RPL13A	12601	-3.8501341342926025	-0.3291506	Yes	
row_62	RPL11	12606	-3.871591091156006	-0.31070456	Yes	
row_63	RPS20	12612	-3.9068212509155273	-0.29216284	Yes	
row_64	RPL37A	12625	-3.974315643310547	-0.2738185	Yes	
row_65	RPL36A	12630	-4.0011677742004395	-0.25474507	Yes	
row_66	RPS28	12649	-4.0779032707214355	-0.2363485	Yes	
row_67	RPL10	12695	-4.315329074859619	-0.2188242	Yes	
row_68	RPL3	12698	-4.330018043518066	-0.19800878	Yes	
row_69	RPL9	12702	-4.350203037261963	-0.17717052	Yes	
row_70	RPL32	12703	-4.3558197021484375	-0.1560804	Yes	
row_71	RPS3A	12704	-4.355922698974609	-0.13498978	Yes	
row_72	RPS8	12721	-4.435816287994385	-0.11471048	Yes	
row_73	RPL23	12750	-4.590398788452148	-0.09458132	Yes	
row_74	RPL29	12752	-4.5968194007873535	-0.072399214	Yes	
row_75	RPL31	12755	-4.601333141326904	-0.050270133	Yes	
row_76	RPL22	12778	-4.65726375579834	-0.029367924	Yes	
row_77	RPL36	12820	-4.852655410766602	-0.008942458	Yes	
row_78	RPL5	12847	-4.969137191772461	0.013170251	Yes	
row_79	RPSA	13105	-6.327545642852783	0.024561947	Yes	
