NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCBP1	1558	2.5755615234375	-0.10707265	No	
row_1	RPL22L1	1608	2.4702391624450684	-0.10121272	No	
row_2	RBM4	1717	2.284510374069214	-0.10050151	No	
row_3	EIF5	2414	1.399150013923645	-0.14737368	No	
row_4	DHX29	2479	1.3444366455078125	-0.14698832	No	
row_5	EIF4A1	2555	1.25845205783844	-0.14776124	No	
row_6	DENR	2587	1.2319937944412231	-0.14533156	No	
row_7	MIF4GD	2681	1.1695841550827026	-0.14779966	No	
row_8	EIF3J	3627	0.6588496565818787	-0.21623304	No	
row_9	MCTS1	3723	0.6251118779182434	-0.22095415	No	
row_10	NCBP2	4177	0.4776417016983032	-0.2531338	No	
row_11	RPL26L1	4848	0.32861843705177307	-0.30218762	No	
row_12	FTSJ1	5091	0.28528207540512085	-0.31926218	No	
row_13	EIF4G1	5115	0.27894219756126404	-0.3199124	No	
row_14	ZC3H15	5229	0.2574664056301117	-0.32740533	No	
row_15	EIF3M	5578	0.2003212571144104	-0.35276958	No	
row_16	RPS19	5891	0.15612712502479553	-0.3756006	No	
row_17	EIF3I	6002	0.1417396366596222	-0.38331518	No	
row_18	EIF2S2	6298	0.10632472485303879	-0.40506166	No	
row_19	DRG1	6357	0.10158465057611465	-0.40902564	No	
row_20	RWDD1	6452	0.09289984405040741	-0.4157271	No	
row_21	NEMF	6464	0.0913177877664566	-0.4162006	No	
row_22	EIF2D	6553	0.08169080317020416	-0.4224947	No	
row_23	ETF1	6622	0.07614610344171524	-0.42730802	No	
row_24	EIF2B3	6677	0.06854203343391418	-0.4310992	No	
row_25	RPL35	6981	0.04188153147697449	-0.45369545	No	
row_26	EIF3K	7123	0.03320995345711708	-0.46415755	No	
row_27	EIF3G	7674	-0.006466553080826998	-0.50544244	No	
row_28	RPS14	7900	-0.02286824770271778	-0.52225363	No	
row_29	SLBP	7914	-0.024047762155532837	-0.5231372	No	
row_30	EIF2S3B	8089	-0.0371476374566555	-0.53606266	No	
row_31	RPS26	8205	-0.04904789850115776	-0.5445108	No	
row_32	EIF3A	8714	-0.10426106303930283	-0.5822634	No	
