NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMB9	99	9.425493240356445	0.030375177	Yes	
row_1	CCNA1	122	9.21359634399414	0.06568919	Yes	
row_2	PSMB8	264	8.259130477905273	0.08822687	Yes	
row_3	PSME2	346	7.657662391662598	0.1128622	Yes	
row_4	PCNA	513	6.450171947479248	0.12626217	Yes	
row_5	FEN1	532	6.318232536315918	0.15025975	Yes	
row_6	PSME1	537	6.298951148986816	0.17523251	Yes	
row_7	PSMB10	590	6.017701148986816	0.19546807	Yes	
row_8	PSMA3	593	6.0037455558776855	0.21940672	Yes	
row_9	CCNA2	625	5.840149879455566	0.2405087	Yes	
row_10	PSMA6	636	5.79927921295166	0.26302552	Yes	
row_11	UBB	668	5.636346817016602	0.2833098	Yes	
row_12	MCM3	706	5.423946380615234	0.3022907	Yes	
row_13	PSMA5	712	5.397634983062744	0.32357192	Yes	
row_14	PSMD5	760	5.157166481018066	0.34073064	Yes	
row_15	PSMA7	887	4.634607791900635	0.34985325	Yes	
row_16	PSMA4	928	4.46769380569458	0.36477184	Yes	
row_17	H2AX	936	4.441960334777832	0.3820682	Yes	
row_18	SKP2	962	4.3466339111328125	0.39762878	Yes	
row_19	CDC7	992	4.221292972564697	0.41238573	Yes	
row_20	H3-3B	1017	4.1041669845581055	0.42704862	Yes	
row_21	H2AZ1	1039	4.060295104980469	0.44176108	Yes	
row_22	H2AZ2	1057	3.994002103805542	0.45650825	Yes	
row_23	GINS1	1077	3.9464409351348877	0.4709142	Yes	
row_24	GINS2	1100	3.8204689025878906	0.4845892	Yes	
row_25	PSMC3	1112	3.77593994140625	0.4989125	Yes	
row_26	PSMB7	1168	3.621647834777832	0.50930876	Yes	
row_27	MCM7	1187	3.5771780014038086	0.5223083	Yes	
row_28	PSMC2	1210	3.5091092586517334	0.534734	Yes	
row_29	PSME3	1219	3.4764320850372314	0.54808116	Yes	
row_30	PSMD7	1235	3.4283106327056885	0.56070894	Yes	
row_31	PSMD1	1243	3.389864206314087	0.57378393	Yes	
row_32	PSMD11	1277	3.2854020595550537	0.58448505	Yes	
row_33	RFC3	1296	3.223109245300293	0.596064	Yes	
row_34	CDC27	1325	3.1383228302001953	0.6065509	Yes	
row_35	POLA2	1505	2.6939642429351807	0.6039023	Yes	
row_36	MCM6	1567	2.547940492630005	0.6095394	Yes	
row_37	PSMB1	1579	2.525925874710083	0.61884725	Yes	
row_38	PSMD10	1683	2.35162615776062	0.62053895	Yes	
row_39	RPA1	1743	2.228780508041382	0.62504584	Yes	
row_40	CDC26	1870	2.0188605785369873	0.6236732	Yes	
row_41	PSMD12	1875	2.012984037399292	0.6314492	Yes	
