NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL22L1	1608	2.4702391624450684	-0.109681316	No	
row_1	RPL39L	4506	0.4006569981575012	-0.32501253	No	
row_2	RPS27L	4790	0.3397424817085266	-0.34473178	No	
row_3	RPL26L1	4848	0.32861843705177307	-0.34756455	No	
row_4	RPL36AL	5312	0.24372194707393646	-0.38119233	No	
row_5	RPS19	5891	0.15612712502479553	-0.423821	No	
row_6	EEF1D	6731	0.06327366828918457	-0.48641402	No	
row_7	RPL35	6981	0.04188153147697449	-0.50488937	No	
row_8	RPS14	7900	-0.02286824770271778	-0.5735791	No	
row_9	RPS26	8205	-0.04904789850115776	-0.59614444	No	
row_10	RPL12	9332	-0.18950848281383514	-0.679691	No	
row_11	RPS27A	9441	-0.21117375791072845	-0.68685955	No	
row_12	EEF1B2	10463	-0.5492643117904663	-0.76096326	No	
row_13	FAU	10905	-0.7829902172088623	-0.7905819	No	
row_14	RPLP2	10925	-0.7973757982254028	-0.7885152	No	
row_15	RPS15	11066	-0.895615816116333	-0.79508555	No	
row_16	RPS24	11201	-1.0123951435089111	-0.80069506	No	
row_17	RPL10A	11226	-1.0570340156555176	-0.7978664	No	
row_18	RPL27	11368	-1.2217673063278198	-0.803084	No	
row_19	RPL19	11452	-1.3151278495788574	-0.8035467	Yes	
row_20	RPS21	11480	-1.3400490283966064	-0.799704	Yes	
row_21	UBA52	11485	-1.3510831594467163	-0.7940895	Yes	
row_22	RPS12	11516	-1.376637578010559	-0.7903114	Yes	
row_23	RPL30	11589	-1.46909761428833	-0.7892759	Yes	
row_24	RPS13	11706	-1.623005986213684	-0.7908637	Yes	
row_25	RPS3	11730	-1.67835533618927	-0.78524035	Yes	
row_26	RPS29	11734	-1.6893092393875122	-0.77807033	Yes	
row_27	RPL7A	11755	-1.7281849384307861	-0.77200407	Yes	
row_28	RPS6	11847	-1.8637542724609375	-0.7706647	Yes	
row_29	RPL28	11878	-1.9308435916900635	-0.7644606	Yes	
row_30	RPL21	11886	-1.9417338371276855	-0.7564854	Yes	
row_31	RPL24	11934	-2.017127513885498	-0.7511775	Yes	
row_32	RPL38	11959	-2.0621509552001953	-0.74394906	Yes	
row_33	RPS23	11988	-2.1111056804656982	-0.73680604	Yes	
row_34	RPL15	11997	-2.126142978668213	-0.7280985	Yes	
row_35	EEF1A1	12012	-2.1552469730377197	-0.7197132	Yes	
row_36	RPL37	12039	-2.210381031036377	-0.71198577	Yes	
row_37	RPL23A	12052	-2.240267515182495	-0.7030784	Yes	
row_38	RPL8	12053	-2.240267515182495	-0.6932718	Yes	
row_39	RPL39	12090	-2.3081893920898438	-0.6858656	Yes	
row_40	RPS10	12091	-2.309427499771118	-0.6757563	Yes	
row_41	RPL6	12131	-2.4115078449249268	-0.6681226	Yes	
row_42	RPLP0	12151	-2.4509427547454834	-0.6588175	Yes	
row_43	RPL18A	12176	-2.5368850231170654	-0.649511	Yes	
row_44	RPLP1	12184	-2.54803466796875	-0.63888174	Yes	
row_45	RPL7	12187	-2.553942918777466	-0.62785196	Yes	
row_46	RPL4	12199	-2.5930979251861572	-0.6173252	Yes	
row_47	RPS15A	12258	-2.7330992221832275	-0.6097075	Yes	
row_48	EEF1A1P5	12271	-2.7677226066589355	-0.59849125	Yes	
row_49	RPS25	12274	-2.7704403400421143	-0.58651376	Yes	
row_50	RPS11	12288	-2.8069539070129395	-0.57520074	Yes	
row_51	RPL27A	12297	-2.8155601024627686	-0.5634753	Yes	
row_52	RPL18	12305	-2.8328404426574707	-0.5515994	Yes	
row_53	RPS5	12310	-2.8434810638427734	-0.539452	Yes	
row_54	RPL26	12334	-2.921002149581909	-0.5283891	Yes	
row_55	RPL17	12342	-2.946392297744751	-0.51601607	Yes	
row_56	RPS16	12370	-3.0238497257232666	-0.5048027	Yes	
row_57	RPS9	12407	-3.1494381427764893	-0.49371395	Yes	
row_58	RPS2	12449	-3.295194149017334	-0.48236182	Yes	
row_59	RPS7	12470	-3.3674933910369873	-0.46911964	Yes	
row_60	RPS4X	12476	-3.3888471126556396	-0.45465994	Yes	
row_61	RPL14	12486	-3.432732343673706	-0.44030786	Yes	
row_62	RPS27	12488	-3.4427130222320557	-0.42531264	Yes	
row_63	RPL41	12502	-3.497469902038574	-0.41097692	Yes	
row_64	RPL13	12515	-3.539088010787964	-0.3963841	Yes	
row_65	RPS18	12527	-3.5865318775177	-0.38150865	Yes	
row_66	RPL34	12548	-3.6634202003479004	-0.36697105	Yes	
row_67	RPL35A	12599	-3.839956760406494	-0.35390872	Yes	
row_68	RPL13A	12601	-3.8501341342926025	-0.33713004	Yes	
row_69	RPL11	12606	-3.871591091156006	-0.32048222	Yes	
row_70	RPS20	12612	-3.9068212509155273	-0.30375513	Yes	
row_71	RPL37A	12625	-3.974315643310547	-0.28725716	Yes	
row_72	RPL36A	12630	-4.0011677742004395	-0.27004215	Yes	
row_73	RPS28	12649	-4.0779032707214355	-0.2535403	Yes	
row_74	RPL10	12695	-4.315329074859619	-0.2380224	Yes	
row_75	RPL3	12698	-4.330018043518066	-0.219218	Yes	
row_76	RPL32	12703	-4.3558197021484375	-0.20045054	Yes	
row_77	RPS3A	12704	-4.355922698974609	-0.18138288	Yes	
row_78	RPS8	12721	-4.435816287994385	-0.16316445	Yes	
row_79	RPL23	12750	-4.590398788452148	-0.14516856	Yes	
row_80	RPL29	12752	-4.5968194007873535	-0.12512133	Yes	
row_81	RPL31	12755	-4.601333141326904	-0.10512928	Yes	
row_82	EEF1G	12771	-4.639934539794922	-0.0859424	Yes	
row_83	RPL22	12778	-4.65726375579834	-0.06600526	Yes	
row_84	EEF2	12802	-4.755309581756592	-0.046912815	Yes	
row_85	RPL36	12820	-4.852655410766602	-0.02694464	Yes	
row_86	RPL5	12847	-4.969137191772461	-0.007140987	Yes	
row_87	EEF1A2	12914	-5.300981044769287	0.011117905	Yes	
row_88	RPSA	13105	-6.327545642852783	0.024578622	Yes	
