NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL22L1	1608	2.4702391624450684	-0.11102168	No	
row_1	EIF5	2414	1.399150013923645	-0.16596356	No	
row_2	EIF4A1	2555	1.25845205783844	-0.17153293	No	
row_3	EIF1AX	2837	1.069824457168579	-0.18842852	No	
row_4	EIF2S1	3003	0.9483145475387573	-0.19709249	No	
row_5	EIF2B2	3086	0.901906430721283	-0.19970743	No	
row_6	EIF3J	3627	0.6588496565818787	-0.2376611	No	
row_7	RPL39L	4506	0.4006569981575012	-0.3020039	No	
row_8	RPS27L	4790	0.3397424817085266	-0.3219162	No	
row_9	RPL26L1	4848	0.32861843705177307	-0.3249052	No	
row_10	EIF4G1	5115	0.27894219756126404	-0.34377995	No	
row_11	RPL36AL	5312	0.24372194707393646	-0.35753772	No	
row_12	EIF3M	5578	0.2003212571144104	-0.37664607	No	
row_13	EIF4E	5657	0.18795791268348694	-0.38176394	No	
row_14	RPS19	5891	0.15612712502479553	-0.39864343	No	
row_15	EIF3I	6002	0.1417396366596222	-0.40634516	No	
row_16	EIF2S2	6298	0.10632472485303879	-0.42807484	No	
row_17	EIF2B3	6677	0.06854203343391418	-0.4561841	No	
row_18	RPL35	6981	0.04188153147697449	-0.4787674	No	
row_19	EIF3K	7123	0.03320995345711708	-0.4892226	No	
row_20	EIF2B4	7247	0.02246090956032276	-0.49836865	No	
row_21	EIF3G	7674	-0.006466553080826998	-0.53032523	No	
row_22	RPS14	7900	-0.02286824770271778	-0.54712737	No	
row_23	EIF2B5	7953	-0.027212198823690414	-0.5509244	No	
row_24	RPS26	8205	-0.04904789850115776	-0.56957567	No	
row_25	EIF5B	8426	-0.07349908351898193	-0.58580357	No	
row_26	EIF3A	8714	-0.10426106303930283	-0.6069408	No	
row_27	EIF2B1	9099	-0.1537473499774933	-0.6351659	No	
row_28	RPL12	9332	-0.18950848281383514	-0.65183926	No	
row_29	RPS27A	9441	-0.21117375791072845	-0.65911824	No	
