NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL22L1	1608	2.4702391624450684	-0.10880107	No	
row_1	APEH	1626	2.430586099624634	-0.098577954	No	
row_2	GSPT2	4214	0.4658285081386566	-0.29021537	No	
row_3	RPL39L	4506	0.4006569981575012	-0.31012452	No	
row_4	RPS27L	4790	0.3397424817085266	-0.32972237	No	
row_5	RPL26L1	4848	0.32861843705177307	-0.33243892	No	
row_6	RPL36AL	5312	0.24372194707393646	-0.36597812	No	
row_7	RPS19	5891	0.15612712502479553	-0.40854847	No	
row_8	ETF1	6622	0.07614610344171524	-0.46288633	No	
row_9	RPL35	6981	0.04188153147697449	-0.48951274	No	
row_10	RPS14	7900	-0.02286824770271778	-0.5581892	No	
row_11	N6AMT1	8174	-0.045625366270542145	-0.578429	No	
row_12	RPS26	8205	-0.04904789850115776	-0.5804449	No	
row_13	GSPT1	8301	-0.0574079267680645	-0.58729154	No	
row_14	TRMT112	8851	-0.12269057333469391	-0.62784714	No	
row_15	RPL12	9332	-0.18950848281383514	-0.66291654	No	
row_16	RPS27A	9441	-0.21117375791072845	-0.67001003	No	
row_17	FAU	10905	-0.7829902172088623	-0.77592725	No	
row_18	RPLP2	10925	-0.7973757982254028	-0.77357924	No	
row_19	RPS15	11066	-0.895615816116333	-0.7798329	No	
row_20	RPS24	11201	-1.0123951435089111	-0.78508466	No	
row_21	RPL10A	11226	-1.0570340156555176	-0.78188306	No	
row_22	RPL27	11368	-1.2217673063278198	-0.78666896	Yes	
row_23	RPL19	11452	-1.3151278495788574	-0.78666735	Yes	
row_24	RPS21	11480	-1.3400490283966064	-0.78235185	Yes	
row_25	UBA52	11485	-1.3510831594467163	-0.77626085	Yes	
row_26	RPS12	11516	-1.376637578010559	-0.7719971	Yes	
row_27	RPL30	11589	-1.46909761428833	-0.77044296	Yes	
row_28	RPS13	11706	-1.623005986213684	-0.77145773	Yes	
row_29	RPS3	11730	-1.67835533618927	-0.76524234	Yes	
row_30	RPS29	11734	-1.6893092393875122	-0.7574765	Yes	
row_31	RPL7A	11755	-1.7281849384307861	-0.7508006	Yes	
row_32	RPS6	11847	-1.8637542724609375	-0.7488034	Yes	
row_33	RPL28	11878	-1.9308435916900635	-0.7419182	Yes	
row_34	RPL21	11886	-1.9417338371276855	-0.73325807	Yes	
row_35	RPL24	11934	-2.017127513885498	-0.72723854	Yes	
row_36	RPL38	11959	-2.0621509552001953	-0.7192827	Yes	
row_37	RPS23	11988	-2.1111056804656982	-0.71139497	Yes	
row_38	RPL15	11997	-2.126142978668213	-0.7019375	Yes	
row_39	RPL37	12039	-2.210381031036377	-0.69455427	Yes	
row_40	RPL23A	12052	-2.240267515182495	-0.6848567	Yes	
row_41	RPL8	12053	-2.240267515182495	-0.6742601	Yes	
row_42	RPL39	12090	-2.3081893920898438	-0.6660395	Yes	
row_43	RPS10	12091	-2.309427499771118	-0.6551157	Yes	
row_44	RPL6	12131	-2.4115078449249268	-0.6466313	Yes	
row_45	RPLP0	12151	-2.4509427547454834	-0.63646173	Yes	
row_46	RPL18A	12176	-2.5368850231170654	-0.62626034	Yes	
row_47	RPLP1	12184	-2.54803466796875	-0.6147324	Yes	
row_48	RPL7	12187	-2.553942918777466	-0.6028018	Yes	
row_49	RPL4	12199	-2.5930979251861572	-0.59136045	Yes	
row_50	RPS15A	12258	-2.7330992221832275	-0.5827785	Yes	
row_51	RPS25	12274	-2.7704403400421143	-0.570798	Yes	
row_52	RPS11	12288	-2.8069539070129395	-0.55849487	Yes	
row_53	RPL27A	12297	-2.8155601024627686	-0.5457764	Yes	
row_54	RPL18	12305	-2.8328404426574707	-0.53290135	Yes	
row_55	RPS5	12310	-2.8434810638427734	-0.51975113	Yes	
row_56	RPL26	12334	-2.921002149581909	-0.5076579	Yes	
row_57	RPL17	12342	-2.946392297744751	-0.49424565	Yes	
row_58	RPS16	12370	-3.0238497257232666	-0.48196563	Yes	
row_59	RPS9	12407	-3.1494381427764893	-0.4697659	Yes	
row_60	RPS2	12449	-3.295194149017334	-0.4572514	Yes	
row_61	RPS7	12470	-3.3674933910369873	-0.4428214	Yes	
row_62	RPS4X	12476	-3.3888471126556396	-0.4271665	Yes	
row_63	RPL14	12486	-3.432732343673706	-0.4116037	Yes	
row_64	RPS27	12488	-3.4427130222320557	-0.39539427	Yes	
row_65	RPL41	12502	-3.497469902038574	-0.37982497	Yes	
row_66	RPL13	12515	-3.539088010787964	-0.36398387	Yes	
row_67	RPS18	12527	-3.5865318775177	-0.34784344	Yes	
row_68	RPL34	12548	-3.6634202003479004	-0.3320137	Yes	
row_69	RPL35A	12599	-3.839956760406494	-0.31759676	Yes	
row_70	RPL13A	12601	-3.8501341342926025	-0.2994602	Yes	
row_71	RPL11	12606	-3.871591091156006	-0.2814469	Yes	
row_72	RPS20	12612	-3.9068212509155273	-0.2633419	Yes	
row_73	RPL37A	12625	-3.974315643310547	-0.24544217	Yes	
row_74	RPL36A	12630	-4.0011677742004395	-0.22681597	Yes	
row_75	RPS28	12649	-4.0779032707214355	-0.20887582	Yes	
row_76	RPL10	12695	-4.315329074859619	-0.19183569	Yes	
row_77	RPL3	12698	-4.330018043518066	-0.17150414	Yes	
row_78	RPL32	12703	-4.3558197021484375	-0.15120041	Yes	
row_79	RPS3A	12704	-4.355922698974609	-0.13059649	Yes	
row_80	RPS8	12721	-4.435816287994385	-0.110813506	Yes	
row_81	RPL23	12750	-4.590398788452148	-0.09119848	Yes	
row_82	RPL29	12752	-4.5968194007873535	-0.06953001	Yes	
row_83	RPL31	12755	-4.601333141326904	-0.047915123	Yes	
row_84	RPL22	12778	-4.65726375579834	-0.027534248	Yes	
row_85	RPL36	12820	-4.852655410766602	-0.0076528033	Yes	
row_86	RPL5	12847	-4.969137191772461	0.013903545	Yes	
row_87	RPSA	13105	-6.327545642852783	0.02457674	Yes	
