NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL22L1	1608	2.4702391624450684	-0.10987595	No	
row_1	EIF1AX	2837	1.069824457168579	-0.19731757	No	
row_2	EIF3J	3627	0.6588496565818787	-0.25362286	No	
row_3	RPL39L	4506	0.4006569981575012	-0.31771728	No	
row_4	RPS27L	4790	0.3397424817085266	-0.33746573	No	
row_5	RPL26L1	4848	0.32861843705177307	-0.34031823	No	
row_6	RPL36AL	5312	0.24372194707393646	-0.37397715	No	
row_7	EIF3M	5578	0.2003212571144104	-0.392979	No	
row_8	RPS19	5891	0.15612712502479553	-0.41569567	No	
row_9	EIF3I	6002	0.1417396366596222	-0.42332986	No	
row_10	RPL35	6981	0.04188153147697449	-0.4964731	No	
row_11	EIF3K	7123	0.03320995345711708	-0.5069008	No	
row_12	EIF3G	7674	-0.006466553080826998	-0.5481084	No	
row_13	RPS14	7900	-0.02286824770271778	-0.5648786	No	
row_14	RPS26	8205	-0.04904789850115776	-0.58745855	No	
row_15	EIF3A	8714	-0.10426106303930283	-0.62509435	No	
row_16	RPL12	9332	-0.18950848281383514	-0.6705337	No	
row_17	RPS27A	9441	-0.21117375791072845	-0.6777177	No	
row_18	EIF3D	9758	-0.2852939963340759	-0.7001757	No	
row_19	FAU	10905	-0.7829902172088623	-0.78270984	No	
row_20	RPLP2	10925	-0.7973757982254028	-0.7806863	No	
row_21	RPS15	11066	-0.895615816116333	-0.78730977	No	
row_22	RPS24	11201	-1.0123951435089111	-0.79297847	No	
row_23	RPL10A	11226	-1.0570340156555176	-0.79020697	No	
row_24	RPL27	11368	-1.2217673063278198	-0.7954951	No	
row_25	RPL19	11452	-1.3151278495788574	-0.796031	Yes	
row_26	RPS21	11480	-1.3400490283966064	-0.79226065	Yes	
row_27	UBA52	11485	-1.3510831594467163	-0.78671813	Yes	
row_28	RPS12	11516	-1.376637578010559	-0.7830145	Yes	
row_29	RPL30	11589	-1.46909761428833	-0.7820599	Yes	
row_30	EIF3C	11690	-1.6093120574951172	-0.78259826	Yes	
row_31	RPS13	11706	-1.623005986213684	-0.7767046	Yes	
row_32	RPS3	11730	-1.67835533618927	-0.77117145	Yes	
row_33	RPS29	11734	-1.6893092393875122	-0.76409143	Yes	
row_34	RPL7A	11755	-1.7281849384307861	-0.75811785	Yes	
row_35	EIF3B	11811	-1.8111510276794434	-0.7544096	Yes	
row_36	RPS6	11847	-1.8637542724609375	-0.7489744	Yes	
row_37	RPL28	11878	-1.9308435916900635	-0.7428742	Yes	
row_38	RPL21	11886	-1.9417338371276855	-0.7350025	Yes	
row_39	RPL24	11934	-2.017127513885498	-0.7298038	Yes	
row_40	RPL38	11959	-2.0621509552001953	-0.722686	Yes	
row_41	RPS23	11988	-2.1111056804656982	-0.71565634	Yes	
row_42	RPL15	11997	-2.126142978668213	-0.70706224	Yes	
row_43	RPL37	12039	-2.210381031036377	-0.700578	Yes	
row_44	RPL23A	12052	-2.240267515182495	-0.6917903	Yes	
row_45	RPL8	12053	-2.240267515182495	-0.68210286	Yes	
row_46	RPL39	12090	-2.3081893920898438	-0.6748208	Yes	
row_47	RPS10	12091	-2.309427499771118	-0.6648343	Yes	
row_48	RPL6	12131	-2.4115078449249268	-0.6573304	Yes	
row_49	RPLP0	12151	-2.4509427547454834	-0.6481565	Yes	
row_50	RPL18A	12176	-2.5368850231170654	-0.6389858	Yes	
row_51	RPLP1	12184	-2.54803466796875	-0.62849236	Yes	
row_52	RPL7	12187	-2.553942918777466	-0.61759853	Yes	
row_53	RPL4	12199	-2.5930979251861572	-0.6072101	Yes	
row_54	RPS15A	12258	-2.7330992221832275	-0.59974	Yes	
row_55	RPS25	12274	-2.7704403400421143	-0.58888465	Yes	
row_56	RPS11	12288	-2.8069539070129395	-0.5777214	Yes	
row_57	RPL27A	12297	-2.8155601024627686	-0.56614614	Yes	
row_58	RPL18	12305	-2.8328404426574707	-0.5544211	Yes	
row_59	RPS5	12310	-2.8434810638427734	-0.54242516	Yes	
row_60	RPL26	12334	-2.921002149581909	-0.5315185	Yes	
row_61	RPL17	12342	-2.946392297744751	-0.5193025	Yes	
row_62	RPS16	12370	-3.0238497257232666	-0.508251	Yes	
row_63	RPS9	12407	-3.1494381427764893	-0.49733117	Yes	
row_64	EIF3F	12433	-3.243927001953125	-0.48517808	Yes	
row_65	RPS2	12449	-3.295194149017334	-0.47205353	Yes	
row_66	RPS7	12470	-3.3674933910369873	-0.45899123	Yes	
row_67	RPS4X	12476	-3.3888471126556396	-0.44471198	Yes	
row_68	RPL14	12486	-3.432732343673706	-0.43054286	Yes	
row_69	RPS27	12488	-3.4427130222320557	-0.41573077	Yes	
row_70	RPL41	12502	-3.497469902038574	-0.40158162	Yes	
row_71	RPL13	12515	-3.539088010787964	-0.3871775	Yes	
row_72	RPS18	12527	-3.5865318775177	-0.37249327	Yes	
row_73	RPL34	12548	-3.6634202003479004	-0.35815132	Yes	
row_74	RPL35A	12599	-3.839956760406494	-0.3452952	Yes	
row_75	RPL13A	12601	-3.8501341342926025	-0.3287213	Yes	
row_76	RPL11	12606	-3.871591091156006	-0.3122796	Yes	
row_77	RPS20	12612	-3.9068212509155273	-0.29576054	Yes	
row_78	RPL37A	12625	-3.974315643310547	-0.2794744	Yes	
row_79	RPL36A	12630	-4.0011677742004395	-0.26247236	Yes	
row_80	RPS28	12649	-4.0779032707214355	-0.24618815	Yes	
row_81	EIF3H	12668	-4.2060322761535645	-0.22934987	Yes	
row_82	RPL10	12695	-4.315329074859619	-0.21263875	Yes	
row_83	RPL3	12698	-4.330018043518066	-0.19406475	Yes	
row_84	RPL32	12703	-4.3558197021484375	-0.17552912	Yes	
row_85	RPS3A	12704	-4.355922698974609	-0.15669316	Yes	
row_86	RPS8	12721	-4.435816287994385	-0.1387113	Yes	
row_87	RPL23	12750	-4.590398788452148	-0.120960675	Yes	
row_88	RPL29	12752	-4.5968194007873535	-0.101157986	Yes	
row_89	RPL31	12755	-4.601333141326904	-0.08141076	Yes	
row_90	RPL22	12778	-4.65726375579834	-0.06292115	Yes	
row_91	EIF3L	12785	-4.6849045753479	-0.04311244	Yes	
row_92	RPL36	12820	-4.852655410766602	-0.024677599	Yes	
row_93	RPL5	12847	-4.969137191772461	-0.0051392764	Yes	
row_94	EIF3E	12853	-4.986444473266602	0.016048336	Yes	
row_95	RPSA	13105	-6.327545642852783	0.02459162	Yes	
