NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL22L1	1608	2.4702391624450684	-0.11061722	No	
row_1	EIF5	2414	1.399150013923645	-0.16533418	No	
row_2	EIF4A1	2555	1.25845205783844	-0.17072429	No	
row_3	EIF1AX	2837	1.069824457168579	-0.1874611	No	
row_4	EIF2S1	3003	0.9483145475387573	-0.19598763	No	
row_5	EIF3J	3627	0.6588496565818787	-0.24005698	No	
row_6	RPL39L	4506	0.4006569981575012	-0.30430984	No	
row_7	RPS27L	4790	0.3397424817085266	-0.32416406	No	
row_8	RPL26L1	4848	0.32861843705177307	-0.32710546	No	
row_9	EIF4G1	5115	0.27894219756126404	-0.3459312	No	
row_10	RPL36AL	5312	0.24372194707393646	-0.3596476	No	
row_11	EIF3M	5578	0.2003212571144104	-0.37871784	No	
row_12	EIF4E	5657	0.18795791268348694	-0.3838067	No	
row_13	RPS19	5891	0.15612712502479553	-0.40065542	No	
row_14	EIF3I	6002	0.1417396366596222	-0.40833327	No	
row_15	EIF2S2	6298	0.10632472485303879	-0.43003663	No	
row_16	RPL35	6981	0.04188153147697449	-0.48104072	No	
row_17	EIF3K	7123	0.03320995345711708	-0.49148574	No	
row_18	EIF3G	7674	-0.006466553080826998	-0.5327291	No	
row_19	RPS14	7900	-0.02286824770271778	-0.5495191	No	
row_20	RPS26	8205	-0.04904789850115776	-0.5721306	No	
row_21	EIF5B	8426	-0.07349908351898193	-0.58833975	No	
row_22	EIF3A	8714	-0.10426106303930283	-0.60945123	No	
row_23	RPL12	9332	-0.18950848281383514	-0.654978	No	
row_24	RPS27A	9441	-0.21117375791072845	-0.6622235	No	
row_25	EIF3D	9758	-0.2852939963340759	-0.68477523	No	
row_26	EIF4A2	10875	-0.7620444893836975	-0.7654177	No	
row_27	FAU	10905	-0.7829902172088623	-0.76441133	No	
row_28	RPLP2	10925	-0.7973757982254028	-0.7625962	No	
row_29	RPS15	11066	-0.895615816116333	-0.769461	No	
row_30	RPS24	11201	-1.0123951435089111	-0.775401	No	
row_31	RPL10A	11226	-1.0570340156555176	-0.7729056	No	
row_32	RPL27	11368	-1.2217673063278198	-0.77851987	No	
row_33	RPL19	11452	-1.3151278495788574	-0.77940255	Yes	
row_34	RPS21	11480	-1.3400490283966064	-0.775982	Yes	
row_35	UBA52	11485	-1.3510831594467163	-0.77079076	Yes	
row_36	RPS12	11516	-1.376637578010559	-0.76744664	Yes	
row_37	RPL30	11589	-1.46909761428833	-0.7668781	Yes	
row_38	EIF3C	11690	-1.6093120574951172	-0.7678408	Yes	
row_39	RPS13	11706	-1.623005986213684	-0.76236975	Yes	
row_40	RPS3	11730	-1.67835533618927	-0.75727403	Yes	
row_41	RPS29	11734	-1.6893092393875122	-0.75063306	Yes	
row_42	RPL7A	11755	-1.7281849384307861	-0.74510974	Yes	
row_43	EIF3B	11811	-1.8111510276794434	-0.7418754	Yes	
row_44	RPS6	11847	-1.8637542724609375	-0.73692656	Yes	
row_45	RPL28	11878	-1.9308435916900635	-0.73132986	Yes	
row_46	RPL21	11886	-1.9417338371276855	-0.7239631	Yes	
row_47	RPL24	11934	-2.017127513885498	-0.7192913	Yes	
row_48	RPL38	11959	-2.0621509552001953	-0.71271074	Yes	
row_49	RPS23	11988	-2.1111056804656982	-0.7062313	Yes	
row_50	RPL15	11997	-2.126142978668213	-0.69819003	Yes	
row_51	RPL37	12039	-2.210381031036377	-0.6922826	Yes	
row_52	RPL23A	12052	-2.240267515182495	-0.6840776	Yes	
row_53	RPL8	12053	-2.240267515182495	-0.67497224	Yes	
row_54	RPL39	12090	-2.3081893920898438	-0.6682921	Yes	
row_55	RPS10	12091	-2.309427499771118	-0.6589056	Yes	
row_56	RPL6	12131	-2.4115078449249268	-0.6520306	Yes	
row_57	RPLP0	12151	-2.4509427547454834	-0.6434946	Yes	
row_58	EIF4H	12170	-2.511059522628784	-0.63463926	Yes	
row_59	RPL18A	12176	-2.5368850231170654	-0.62470347	Yes	
row_60	RPLP1	12184	-2.54803466796875	-0.61487246	Yes	
row_61	RPL7	12187	-2.553942918777466	-0.6046422	Yes	
row_62	RPL4	12199	-2.5930979251861572	-0.59492815	Yes	
row_63	EIF2S3	12227	-2.6665847301483154	-0.586116	Yes	
row_64	RPS15A	12258	-2.7330992221832275	-0.57725865	Yes	
row_65	RPS25	12274	-2.7704403400421143	-0.5671239	Yes	
row_66	RPS11	12288	-2.8069539070129395	-0.55669075	Yes	
row_67	RPL27A	12297	-2.8155601024627686	-0.5458474	Yes	
row_68	RPL18	12305	-2.8328404426574707	-0.5348588	Yes	
row_69	RPS5	12310	-2.8434810638427734	-0.52360183	Yes	
row_70	RPL26	12334	-2.921002149581909	-0.5134555	Yes	
row_71	RPL17	12342	-2.946392297744751	-0.50200534	Yes	
row_72	RPS16	12370	-3.0238497257232666	-0.49174112	Yes	
row_73	RPS9	12407	-3.1494381427764893	-0.48164177	Yes	
row_74	EIF3F	12433	-3.243927001953125	-0.47033298	Yes	
row_75	RPS2	12449	-3.295194149017334	-0.45806545	Yes	
row_76	RPS7	12470	-3.3674933910369873	-0.44587925	Yes	
row_77	RPS4X	12476	-3.3888471126556396	-0.43248075	Yes	
row_78	RPL14	12486	-3.432732343673706	-0.419204	Yes	
row_79	RPS27	12488	-3.4427130222320557	-0.4052864	Yes	
row_80	RPL41	12502	-3.497469902038574	-0.39204666	Yes	
row_81	RPL13	12515	-3.539088010787964	-0.37856275	Yes	
row_82	RPS18	12527	-3.5865318775177	-0.36481097	Yes	
row_83	RPL34	12548	-3.6634202003479004	-0.351422	Yes	
row_84	RPL35A	12599	-3.839956760406494	-0.3395666	Yes	
row_85	RPL13A	12601	-3.8501341342926025	-0.32399306	Yes	
row_86	RPL11	12606	-3.871591091156006	-0.30855745	Yes	
row_87	RPS20	12612	-3.9068212509155273	-0.29305366	Yes	
row_88	RPL37A	12625	-3.974315643310547	-0.2778008	Yes	
row_89	RPL36A	12630	-4.0011677742004395	-0.2618385	Yes	
row_90	RPS28	12649	-4.0779032707214355	-0.24661484	Yes	
row_91	EIF3H	12668	-4.2060322761535645	-0.2308704	Yes	
row_92	RPL10	12695	-4.315329074859619	-0.21528201	Yes	
row_93	RPL3	12698	-4.330018043518066	-0.19783308	Yes	
