NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI27	1	11.338248252868652	0.035102546	Yes	
row_1	IFITM1	4	11.293049812316895	0.06999012	Yes	
row_2	GBP2	11	11.067392349243164	0.10387863	Yes	
row_3	XAF1	17	10.944361686706543	0.13746017	Yes	
row_4	IFI6	29	10.56299114227295	0.16941006	Yes	
row_5	BST2	37	10.366141319274902	0.2010482	Yes	
row_6	IFITM3	52	10.049569129943848	0.23118097	Yes	
row_7	IFIT1	54	10.04953384399414	0.26228523	Yes	
row_8	MX1	57	9.952366828918457	0.2930133	Yes	
row_9	IFIT3	88	9.554015159606934	0.32041278	Yes	
row_10	IFIT2	90	9.502788543701172	0.34982076	Yes	
row_11	HLA-F	98	9.43630599975586	0.37857404	Yes	
row_12	OAS1	110	9.348076820373535	0.4067546	Yes	
row_13	OAS3	124	9.203524589538574	0.43433726	Yes	
row_14	HLA-B	128	9.166566848754883	0.4625526	Yes	
row_15	OAS2	140	9.122269630432129	0.4900326	Yes	
row_16	IRF9	146	9.089801788330078	0.51786035	Yes	
row_17	USP18	152	9.07492446899414	0.5456419	Yes	
row_18	RSAD2	153	9.057879447937012	0.57374424	Yes	
row_19	OASL	156	9.010950088500977	0.60155153	Yes	
row_20	IRF7	204	8.62109375	0.6247861	Yes	
row_21	HLA-E	239	8.400335311889648	0.64830726	Yes	
row_22	MX2	245	8.374565124511719	0.6739159	Yes	
row_23	IFI35	246	8.374565124511719	0.6998983	Yes	
row_24	HLA-C	262	8.280324935913086	0.72446716	Yes	
row_25	PSMB8	264	8.259130477905273	0.7500167	Yes	
row_26	IFIT5	279	8.185748100280762	0.77436686	Yes	
row_27	IFITM2	300	7.960071086883545	0.7975685	Yes	
row_28	SAMHD1	330	7.760688781738281	0.81947887	Yes	
row_29	ISG15	362	7.54296350479126	0.84056425	Yes	
row_30	IRF1	388	7.305735111236572	0.8613621	Yes	
row_31	HLA-A	404	7.185835838317871	0.8825353	Yes	
row_32	ADAR	602	5.964136600494385	0.88631576	Yes	
row_33	IRF2	976	4.307908058166504	0.87180376	No	
row_34	STAT2	1265	3.316704511642456	0.86056924	No	
row_35	ISG20	1369	3.009989023208618	0.8622098	No	
row_36	HLA-H	1991	1.8442329168319702	0.821519	No	
row_37	IRF6	2123	1.7126938104629517	0.817042	No	
row_38	JAK1	2721	1.144771695137024	0.7759748	No	
row_39	ABCE1	2758	1.1231518983840942	0.77676886	No	
row_40	IP6K2	3166	0.8609569072723389	0.7490215	No	
row_41	EGR1	3460	0.7265406847000122	0.7293772	No	
row_42	PTPN1	3647	0.6507602334022522	0.7174949	No	
row_43	IFNAR1	3952	0.5447298288345337	0.6964645	No	
row_44	KPNB1	5206	0.26275375485420227	0.60363245	No	
row_45	PTPN6	5724	0.17987248301506042	0.56555074	No	
row_46	IRF3	5858	0.15831851959228516	0.5561017	No	
row_47	IRF5	7746	-0.011546909809112549	0.41510612	No	
row_48	RNASEL	7916	-0.024454332888126373	0.4025512	No	
row_49	SOCS3	8270	-0.05458344519138336	0.3763379	No	
row_50	KPNA1	9030	-0.14378730952739716	0.32005754	No	
row_51	TYK2	9609	-0.2517455518245697	0.27763978	No	
row_52	IRF8	11354	-1.2058395147323608	0.15103713	No	
row_53	PTPN11	11514	-1.3760039806365967	0.14342283	No	
