NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI27	1	11.338248252868652	0.018276544	Yes	
row_1	IFITM1	4	11.293049812316895	0.036404625	Yes	
row_2	GBP2	11	11.067392349243164	0.053866234	Yes	
row_3	XAF1	17	10.944361686706543	0.071204014	Yes	
row_4	IFI6	29	10.56299114227295	0.08747267	Yes	
row_5	BST2	37	10.366141319274902	0.10372394	Yes	
row_6	IFITM3	52	10.049569129943848	0.11893567	Yes	
row_7	IFIT1	54	10.04953384399414	0.13512632	Yes	
row_8	MX1	57	9.952366828918457	0.15108441	Yes	
row_9	GBP4	60	9.814299583435059	0.166819	Yes	
row_10	IFIT3	88	9.554015159606934	0.18024965	Yes	
row_11	IFIT2	90	9.502788543701172	0.19555536	Yes	
row_12	HLA-F	98	9.43630599975586	0.21030162	Yes	
row_13	OAS1	110	9.348076820373535	0.22460385	Yes	
row_14	OAS3	124	9.203524589538574	0.23852149	Yes	
row_15	HLA-B	128	9.166566848754883	0.25313237	Yes	
row_16	OAS2	140	9.122269630432129	0.26706913	Yes	
row_17	IRF9	146	9.089801788330078	0.28140515	Yes	
row_18	USP18	152	9.07492446899414	0.2957171	Yes	
row_19	RSAD2	153	9.057879447937012	0.310378	Yes	
row_20	OASL	156	9.010950088500977	0.32481232	Yes	
row_21	TRIM22	162	8.971125602722168	0.33895624	Yes	
row_22	CD44	191	8.702414512634277	0.3509332	Yes	
row_23	IRF7	204	8.62109375	0.36398345	Yes	
row_24	DDX58	227	8.49681282043457	0.37607947	Yes	
row_25	HLA-E	239	8.400335311889648	0.38884768	Yes	
row_26	HERC5	242	8.392281532287598	0.40228063	Yes	
row_27	MX2	245	8.374565124511719	0.41568494	Yes	
row_28	IFI35	246	8.374565124511719	0.4292398	Yes	
row_29	HLA-C	262	8.280324935913086	0.44151258	Yes	
row_30	PSMB8	264	8.259130477905273	0.4548053	Yes	
row_31	STAT1	267	8.214478492736816	0.4679505	Yes	
row_32	TRIM14	277	8.189796447753906	0.48052856	Yes	
row_33	IFIT5	279	8.185748100280762	0.49370253	Yes	
row_34	IFITM2	300	7.960071086883545	0.5050804	Yes	
row_35	GBP5	318	7.87019681930542	0.51653874	Yes	
row_36	SAMHD1	330	7.760688781738281	0.5282716	Yes	
row_37	UBE2L6	343	7.677678108215332	0.53979486	Yes	
row_38	UBA7	354	7.589061260223389	0.5513253	Yes	
row_39	ISG15	362	7.54296350479126	0.56300706	Yes	
row_40	EIF2AK2	381	7.349202632904053	0.57354677	Yes	
row_41	IRF1	388	7.305735111236572	0.58491987	Yes	
row_42	HLA-A	404	7.185835838317871	0.5954211	Yes	
row_43	TRIM25	407	7.14782190322876	0.6068398	Yes	
row_44	TRIM2	410	7.12200927734375	0.6182167	Yes	
row_45	IFNGR1	414	7.099472999572754	0.62948185	Yes	
row_46	TRIM26	433	6.965139865875244	0.63939995	Yes	
row_47	NUP210	463	6.771964073181152	0.648177	Yes	
row_48	GBP1	473	6.709523677825928	0.65835917	Yes	
row_49	B2M	479	6.6450066566467285	0.66873807	Yes	
