NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL22L1	1608	2.4702391624450684	-0.10888378	No	
row_1	MRPL13	3141	0.8714514970779419	-0.2195548	No	
row_2	RPS27L	4790	0.3397424817085266	-0.34140182	No	
row_3	RPL26L1	4848	0.32861843705177307	-0.34413376	No	
row_4	RPL36AL	5312	0.24372194707393646	-0.3776726	No	
row_5	RPS19	5891	0.15612712502479553	-0.42023483	No	
row_6	RPL35	6981	0.04188153147697449	-0.5016058	No	
row_7	RPS26	8205	-0.04904789850115776	-0.59297997	No	
row_8	RPL12	9332	-0.18950848281383514	-0.67643166	No	
row_9	RPS27A	9441	-0.21117375791072845	-0.683533	No	
row_10	RSL24D1	10840	-0.7386102080345154	-0.7847888	No	
row_11	FAU	10905	-0.7829902172088623	-0.7859193	No	
row_12	RPLP2	10925	-0.7973757982254028	-0.783612	No	
row_13	RPS15	11066	-0.895615816116333	-0.7899081	No	
row_14	RPS24	11201	-1.0123951435089111	-0.7952085	No	
row_15	RPL10A	11226	-1.0570340156555176	-0.792061	No	
row_16	RPL27	11368	-1.2217673063278198	-0.7969061	No	
row_17	RPL19	11452	-1.3151278495788574	-0.79697025	Yes	
row_18	RPS21	11480	-1.3400490283966064	-0.79272336	Yes	
row_19	UBA52	11485	-1.3510831594467163	-0.7867021	Yes	
row_20	RPS12	11516	-1.376637578010559	-0.78250873	Yes	
row_21	RPL30	11589	-1.46909761428833	-0.7810286	Yes	
row_22	RPS13	11706	-1.623005986213684	-0.78212416	Yes	
row_23	RPS3	11730	-1.67835533618927	-0.77599496	Yes	
row_24	RPS29	11734	-1.6893092393875122	-0.76831645	Yes	
row_25	RPL7A	11755	-1.7281849384307861	-0.7617294	Yes	
row_26	RPS6	11847	-1.8637542724609375	-0.7598261	Yes	
row_27	RPL28	11878	-1.9308435916900635	-0.75303996	Yes	
row_28	RPL21	11886	-1.9417338371276855	-0.7444802	Yes	
row_29	RPL24	11934	-2.017127513885498	-0.73856366	Yes	
row_30	RPL38	11959	-2.0621509552001953	-0.73071384	Yes	
row_31	RPS23	11988	-2.1111056804656982	-0.72293454	Yes	
row_32	RPL15	11997	-2.126142978668213	-0.7135869	Yes	
row_33	RPL37	12039	-2.210381031036377	-0.70631695	Yes	
row_34	RPL23A	12052	-2.240267515182495	-0.696735	Yes	
row_35	RPL8	12053	-2.240267515182495	-0.68625426	Yes	
row_36	RPL39	12090	-2.3081893920898438	-0.67815214	Yes	
row_37	RPS10	12091	-2.309427499771118	-0.66734785	Yes	
row_38	RPL6	12131	-2.4115078449249268	-0.6589871	Yes	
row_39	RPLP0	12151	-2.4509427547454834	-0.64894384	Yes	
row_40	RPL18A	12176	-2.5368850231170654	-0.63887304	Yes	
row_41	RPLP1	12184	-2.54803466796875	-0.62747675	Yes	
row_42	RPL7	12187	-2.553942918777466	-0.6156783	Yes	
row_43	RPL4	12199	-2.5930979251861572	-0.60437083	Yes	
row_44	RPS15A	12258	-2.7330992221832275	-0.59592867	Yes	
row_45	RPS25	12274	-2.7704403400421143	-0.5840911	Yes	
row_46	RPS11	12288	-2.8069539070129395	-0.5719329	Yes	
row_47	RPL27A	12297	-2.8155601024627686	-0.55935997	Yes	
row_48	RPL18	12305	-2.8328404426574707	-0.5466312	Yes	
row_49	RPS5	12310	-2.8434810638427734	-0.53362805	Yes	
row_50	RPL26	12334	-2.921002149581909	-0.5216853	Yes	
row_51	RPL17	12342	-2.946392297744751	-0.50842535	Yes	
row_52	RPS16	12370	-3.0238497257232666	-0.49630105	Yes	
row_53	RPS9	12407	-3.1494381427764893	-0.48426333	Yes	
row_54	RPS2	12449	-3.295194149017334	-0.4719182	Yes	
row_55	RPS7	12470	-3.3674933910369873	-0.4576619	Yes	
row_56	RPS4X	12476	-3.3888471126556396	-0.4421822	Yes	
row_57	RPL14	12486	-3.432732343673706	-0.4267968	Yes	
row_58	RPS27	12488	-3.4427130222320557	-0.41076547	Yes	
row_59	RPL41	12502	-3.497469902038574	-0.3953768	Yes	
row_60	RPL13	12515	-3.539088010787964	-0.37971854	Yes	
row_61	RPS18	12527	-3.5865318775177	-0.3637634	Yes	
row_62	RPL34	12548	-3.6634202003479004	-0.34812266	Yes	
row_63	RPL35A	12599	-3.839956760406494	-0.33390304	Yes	
row_64	RPL13A	12601	-3.8501341342926025	-0.31596568	Yes	
row_65	RPL11	12606	-3.871591091156006	-0.29815263	Yes	
row_66	RPS20	12612	-3.9068212509155273	-0.28024966	Yes	
row_67	RPL37A	12625	-3.974315643310547	-0.26255524	Yes	
row_68	RPL36A	12630	-4.0011677742004395	-0.24413599	Yes	
row_69	RPS28	12649	-4.0779032707214355	-0.22640635	Yes	
row_70	RPL10	12695	-4.315329074859619	-0.20958827	Yes	
row_71	RPL3	12698	-4.330018043518066	-0.18948075	Yes	
row_72	RPL9	12702	-4.350203037261963	-0.1693537	Yes	
row_73	RPL32	12703	-4.3558197021484375	-0.14897564	Yes	
row_74	RPS3A	12704	-4.355922698974609	-0.12859713	Yes	
row_75	RPS8	12721	-4.435816287994385	-0.10904325	Yes	
row_76	RPL23	12750	-4.590398788452148	-0.08966498	Yes	
row_77	RPL29	12752	-4.5968194007873535	-0.06823436	Yes	
row_78	RPL31	12755	-4.601333141326904	-0.04685753	Yes	
row_79	RPL22	12778	-4.65726375579834	-0.026717046	Yes	
row_80	RPL36	12820	-4.852655410766602	-0.007085567	Yes	
row_81	RPL5	12847	-4.969137191772461	0.014214365	Yes	
row_82	RPSA	13105	-6.327545642852783	0.02456733	Yes	
