NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL22L1	1608	2.4702391624450684	-0.11070245	No	
row_1	EIF4A1	2555	1.25845205783844	-0.17661399	No	
row_2	EIF1AX	2837	1.069824457168579	-0.19339004	No	
row_3	EIF2S1	3003	0.9483145475387573	-0.20195183	No	
row_4	EIF3J	3627	0.6588496565818787	-0.24604283	No	
row_5	RPL39L	4506	0.4006569981575012	-0.31030604	No	
row_6	RPS27L	4790	0.3397424817085266	-0.33017164	No	
row_7	RPL26L1	4848	0.32861843705177307	-0.33312523	No	
row_8	EIF4G1	5115	0.27894219756126404	-0.35196012	No	
row_9	RPL36AL	5312	0.24372194707393646	-0.36568472	No	
row_10	EIF3M	5578	0.2003212571144104	-0.38476115	No	
row_11	EIF4E	5657	0.18795791268348694	-0.38985673	No	
row_12	RPS19	5891	0.15612712502479553	-0.4067101	No	
row_13	EIF3I	6002	0.1417396366596222	-0.4143927	No	
row_14	EIF2S2	6298	0.10632472485303879	-0.4360985	No	
row_15	RPL35	6981	0.04188153147697449	-0.48710033	No	
row_16	EIF3K	7123	0.03320995345711708	-0.49754584	No	
row_17	EIF3G	7674	-0.006466553080826998	-0.5387863	No	
row_18	RPS14	7900	-0.02286824770271778	-0.55557597	No	
row_19	RPS26	8205	-0.04904789850115776	-0.57818764	No	
row_20	EIF3A	8714	-0.10426106303930283	-0.6158831	No	
row_21	RPL12	9332	-0.18950848281383514	-0.6614136	No	
row_22	RPS27A	9441	-0.21117375791072845	-0.6686666	No	
row_23	EIF3D	9758	-0.2852939963340759	-0.69122744	No	
row_24	EIF4A2	10875	-0.7620444893836975	-0.7718927	No	
row_25	FAU	10905	-0.7829902172088623	-0.7709161	No	
row_26	RPLP2	10925	-0.7973757982254028	-0.76913124	No	
row_27	RPS15	11066	-0.895615816116333	-0.77602947	No	
row_28	RPS24	11201	-1.0123951435089111	-0.7820073	No	
row_29	RPL10A	11226	-1.0570340156555176	-0.77955216	No	
row_30	RPL27	11368	-1.2217673063278198	-0.7852122	No	
row_31	RPL19	11452	-1.3151278495788574	-0.7861447	Yes	
row_32	RPS21	11480	-1.3400490283966064	-0.7827751	Yes	
row_33	UBA52	11485	-1.3510831594467163	-0.7776354	Yes	
row_34	RPS12	11516	-1.376637578010559	-0.7743436	Yes	
row_35	RPL30	11589	-1.46909761428833	-0.77383083	Yes	
row_36	EIF3C	11690	-1.6093120574951172	-0.77485436	Yes	
row_37	RPS13	11706	-1.623005986213684	-0.7694452	Yes	
row_38	RPS3	11730	-1.67835533618927	-0.76441336	Yes	
row_39	RPS29	11734	-1.6893092393875122	-0.7578369	Yes	
row_40	RPL7A	11755	-1.7281849384307861	-0.75237936	Yes	
row_41	EIF3B	11811	-1.8111510276794434	-0.7492139	Yes	
row_42	RPS6	11847	-1.8637542724609375	-0.74433595	Yes	
row_43	RPL28	11878	-1.9308435916900635	-0.7388128	Yes	
row_44	RPL21	11886	-1.9417338371276855	-0.73152006	Yes	
row_45	RPL24	11934	-2.017127513885498	-0.726925	Yes	
row_46	RPL38	11959	-2.0621509552001953	-0.720423	Yes	
row_47	RPS23	11988	-2.1111056804656982	-0.714024	Yes	
row_48	RPL15	11997	-2.126142978668213	-0.70606387	Yes	
row_49	RPL37	12039	-2.210381031036377	-0.7002405	Yes	
row_50	RPL23A	12052	-2.240267515182495	-0.69212097	Yes	
row_51	RPL8	12053	-2.240267515182495	-0.6831011	Yes	
row_52	RPL39	12090	-2.3081893920898438	-0.67650884	Yes	
row_53	RPS10	12091	-2.309427499771118	-0.6672105	Yes	
row_54	RPL6	12131	-2.4115078449249268	-0.66042733	Yes	
row_55	RPLP0	12151	-2.4509427547454834	-0.65198475	Yes	
row_56	EIF4H	12170	-2.511059522628784	-0.64322513	Yes	
row_57	RPL18A	12176	-2.5368850231170654	-0.63338614	Yes	
row_58	RPLP1	12184	-2.54803466796875	-0.62365234	Yes	
row_59	RPL7	12187	-2.553942918777466	-0.61351955	Yes	
row_60	RPL4	12199	-2.5930979251861572	-0.6039044	Yes	
row_61	EIF2S3	12227	-2.6665847301483154	-0.5951939	Yes	
row_62	RPS15A	12258	-2.7330992221832275	-0.5864406	Yes	
row_63	RPS25	12274	-2.7704403400421143	-0.5764116	Yes	
row_64	RPS11	12288	-2.8069539070129395	-0.56608546	Yes	
row_65	RPL27A	12297	-2.8155601024627686	-0.5553496	Yes	
row_66	RPL18	12305	-2.8328404426574707	-0.54446906	Yes	
row_67	RPS5	12310	-2.8434810638427734	-0.5333206	Yes	
row_68	RPL26	12334	-2.921002149581909	-0.52328557	Yes	
row_69	RPL17	12342	-2.946392297744751	-0.5119479	Yes	
row_70	RPS16	12370	-3.0238497257232666	-0.50179887	Yes	
row_71	RPS9	12407	-3.1494381427764893	-0.49181953	Yes	
row_72	EIF3F	12433	-3.243927001953125	-0.48063442	Yes	
row_73	RPS2	12449	-3.295194149017334	-0.46849257	Yes	
row_74	RPS7	12470	-3.3674933910369873	-0.4564348	Yes	
row_75	RPS4X	12476	-3.3888471126556396	-0.44316557	Yes	
row_76	RPL14	12486	-3.432732343673706	-0.4300198	Yes	
row_77	RPS27	12488	-3.4427130222320557	-0.4162336	Yes	
row_78	RPL41	12502	-3.497469902038574	-0.40312728	Yes	
row_79	RPL13	12515	-3.539088010787964	-0.38977838	Yes	
row_80	RPS18	12527	-3.5865318775177	-0.37616342	Yes	
row_81	RPL34	12548	-3.6634202003479004	-0.36291417	Yes	
row_82	PABPC1	12589	-3.8049466609954834	-0.35059568	Yes	
row_83	RPL35A	12599	-3.839956760406494	-0.3358103	Yes	
row_84	RPL13A	12601	-3.8501341342926025	-0.32038373	Yes	
row_85	RPL11	12606	-3.871591091156006	-0.30509582	Yes	
row_86	RPS20	12612	-3.9068212509155273	-0.28974113	Yes	
row_87	RPL37A	12625	-3.974315643310547	-0.27463987	Yes	
row_88	RPL36A	12630	-4.0011677742004395	-0.25883028	Yes	
row_89	RPS28	12649	-4.0779032707214355	-0.24376217	Yes	
row_90	EIF3H	12668	-4.2060322761535645	-0.22817814	Yes	
row_91	RPL10	12695	-4.315329074859619	-0.21275432	Yes	
row_92	RPL3	12698	-4.330018043518066	-0.19547063	Yes	
row_93	RPL32	12703	-4.3558197021484375	-0.17823312	Yes	
row_94	RPS3A	12704	-4.355922698974609	-0.16069506	Yes	
row_95	RPS8	12721	-4.435816287994385	-0.14403582	Yes	
row_96	EIF4B	12749	-4.589596748352051	-0.12758274	Yes	
row_97	RPL23	12750	-4.590398788452148	-0.10910064	Yes	
row_98	RPL29	12752	-4.5968194007873535	-0.09066771	Yes	
row_99	RPL31	12755	-4.601333141326904	-0.072291635	Yes	
row_100	RPL22	12778	-4.65726375579834	-0.05519097	Yes	
row_101	EIF3L	12785	-4.6849045753479	-0.036778532	Yes	
row_102	RPL36	12820	-4.852655410766602	-0.01979153	Yes	
row_103	RPL5	12847	-4.969137191772461	-0.0017353044	Yes	
row_104	EIF3E	12853	-4.986444473266602	0.017966235	Yes	
row_105	RPSA	13105	-6.327545642852783	0.024610009	Yes	
