NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRP36	1588	2.51054310798645	-0.110311046	No	
row_1	RPL22L1	1608	2.4702391624450684	-0.102447964	No	
row_2	UTP11	1614	2.45327091217041	-0.09359293	No	
row_3	NIP7	1619	2.4446442127227783	-0.084694944	No	
row_4	NOP56	2297	1.5029759407043457	-0.13009478	No	
row_5	UTP3	2353	1.4470218420028687	-0.12879719	No	
row_6	EBNA1BP2	2468	1.3549058437347412	-0.13229571	No	
row_7	NCL	2484	1.337997317314148	-0.1283918	No	
row_8	ISG20L2	2619	1.206365704536438	-0.13395761	No	
row_9	RRP7A	2656	1.1859389543533325	-0.13220963	No	
row_10	WDR46	2939	0.9921836256980896	-0.14974284	No	
row_11	LTV1	2991	0.9543442726135254	-0.14999762	No	
row_12	UTP14A	3112	0.8854357600212097	-0.15571533	No	
row_13	TEX10	3390	0.752313494682312	-0.17377414	No	
row_14	EXOSC3	3486	0.7150049209594727	-0.17824785	No	
row_15	NOP58	3611	0.6623749136924744	-0.18510664	No	
row_16	EXOSC6	3861	0.5754886865615845	-0.20171925	No	
row_17	XRN2	3885	0.5641883015632629	-0.20133065	No	
row_18	SNU13	4170	0.47785627841949463	-0.22095019	No	
row_19	RRP9	4209	0.46773356199264526	-0.22205578	No	
row_20	WDR18	4227	0.4634312689304352	-0.22159386	No	
row_21	RPP25	4274	0.45249781012535095	-0.2233601	No	
row_22	FTSJ3	4425	0.41984933614730835	-0.23309235	No	
row_23	RPL39L	4506	0.4006569981575012	-0.23761779	No	
row_24	MPHOSPH10	4627	0.3704136312007904	-0.24527363	No	
row_25	EXOSC4	4670	0.36128002405166626	-0.24708149	No	
row_26	NOL6	4686	0.3582455813884735	-0.24686457	No	
row_27	WDR3	4695	0.3568212389945984	-0.2461251	No	
row_28	BMS1	4711	0.3531069755554199	-0.24592751	No	
row_29	RPP40	4766	0.344108909368515	-0.24870497	No	
row_30	RPP14	4785	0.34108152985572815	-0.24877888	No	
row_31	RPS27L	4790	0.3397424817085266	-0.24780203	No	
row_32	RPL26L1	4848	0.32861843705177307	-0.25086403	No	
row_33	RIOK1	4886	0.32349973917007446	-0.25243697	No	
row_34	EXOSC2	5117	0.27798619866371155	-0.26873627	No	
row_35	EXOSC1	5224	0.2579527795314789	-0.27575952	No	
row_36	RPP38	5273	0.2506750822067261	-0.2784361	No	
row_37	RPL36AL	5312	0.24372194707393646	-0.2803847	No	
row_38	NOL9	5359	0.23622697591781616	-0.2829648	No	
row_39	UTP14C	5371	0.2333720326423645	-0.28291613	No	
row_40	UTP6	5517	0.20928972959518433	-0.29306367	No	
row_41	UTP18	5602	0.1955275535583496	-0.29866272	No	
row_42	DCAF13	5752	0.1746438592672348	-0.3092423	No	
row_43	SENP3	5792	0.16836431622505188	-0.3115499	No	
row_44	NOC4L	5808	0.16681961715221405	-0.31205335	No	
row_45	RPS19	5891	0.15612712502479553	-0.3176498	No	
row_46	EXOSC5	6018	0.139628604054451	-0.32662663	No	
row_47	TBL3	6174	0.12040206789970398	-0.33786282	No	
row_48	BUD23	6235	0.1126149445772171	-0.34196392	No	
row_49	LAS1L	6270	0.10860751569271088	-0.3441193	No	
row_50	ERI1	6353	0.1020689383149147	-0.34991923	No	
row_51	WDR75	6415	0.09652583301067352	-0.3541563	No	
row_52	RBM28	6548	0.08189912885427475	-0.36380282	No	
row_53	RIOK2	6579	0.07933328300714493	-0.36576673	No	
row_54	UTP20	6841	0.054096899926662445	-0.38524643	No	
row_55	NOL11	6904	0.049099601805210114	-0.38973737	No	
row_56	C1D	6907	0.04909520223736763	-0.38970342	No	
row_57	RPL35	6981	0.04188153147697449	-0.3950511	No	
row_58	EXOSC9	7032	0.0382407121360302	-0.39867795	No	
row_59	NOP14	7486	0.005342422518879175	-0.43282074	No	
row_60	PNO1	7491	0.005009843967854977	-0.43310353	No	
row_61	BYSL	7590	-6.88642670866102E-4	-0.4404916	No	
row_62	DDX49	7599	-0.0014043111586943269	-0.44108963	No	
row_63	RCL1	7789	-0.014810705557465553	-0.45528728	No	
row_64	UTP15	7869	-0.0201127752661705	-0.46116936	No	
row_65	RPS14	7900	-0.02286824770271778	-0.46334577	No	
row_66	WDR36	7999	-0.03169599547982216	-0.47061712	No	
row_67	RPP30	8042	-0.03469808027148247	-0.47365397	No	
row_68	RRP1	8063	-0.035818204283714294	-0.47502747	No	
row_69	PWP2	8202	-0.048987600952386856	-0.48525035	No	
row_70	RPS26	8205	-0.04904789850115776	-0.48521662	No	
row_71	PDCD11	8332	-0.06020795926451683	-0.49449232	No	
row_72	EXOSC7	8384	-0.0670604482293129	-0.4980861	No	
row_73	WDR12	8443	-0.07676491886377335	-0.5021713	No	
row_74	GNL3	8564	-0.08755692094564438	-0.51089156	No	
row_75	MPHOSPH6	8569	-0.08828018605709076	-0.510861	No	
row_76	EMG1	8710	-0.10407624393701553	-0.52102745	No	
row_77	KRR1	8749	-0.1082860454916954	-0.52348566	No	
row_78	IMP4	8858	-0.123866505920887	-0.53116435	No	
row_79	CSNK1D	8924	-0.1327856034040451	-0.5355666	No	
row_80	PES1	8941	-0.13385100662708282	-0.53626955	No	
row_81	PELP1	9074	-0.15084485709667206	-0.5456566	No	
row_82	RPL12	9332	-0.18950848281383514	-0.5643251	No	
row_83	DIS3	9335	-0.18979719281196594	-0.56376165	No	
row_84	EXOSC10	9359	-0.19217264652252197	-0.564773	No	
row_85	RPP21	9401	-0.20386424660682678	-0.56709784	No	
row_86	RPS27A	9441	-0.21117375791072845	-0.5692443	No	
row_87	MTREX	9544	-0.23527950048446655	-0.57605124	No	
row_88	WDR43	9592	-0.24756748974323273	-0.5786641	No	
row_89	DHX37	9971	-0.352666974067688	-0.6058437	No	
row_90	EXOSC8	10179	-0.42540574073791504	-0.61985373	No	
row_91	UTP4	10332	-0.4858524203300476	-0.6294884	No	
row_92	NOB1	10446	-0.542340099811554	-0.63596934	No	
row_93	HEATR1	10743	-0.6911473274230957	-0.6556912	No	
row_94	FAU	10905	-0.7829902172088623	-0.6648865	No	
row_95	RPLP2	10925	-0.7973757982254028	-0.6633187	No	
row_96	FCF1	10942	-0.8064979910850525	-0.6614903	No	
row_97	DDX21	11032	-0.8734887838363647	-0.66491514	No	
row_98	RPS15	11066	-0.895615816116333	-0.6640335	No	
row_99	RPS24	11201	-1.0123951435089111	-0.6703292	No	
row_100	RPL10A	11226	-1.0570340156555176	-0.66816133	No	
row_101	RPL27	11368	-1.2217673063278198	-0.6741971	No	
row_102	RPL19	11452	-1.3151278495788574	-0.6755075	Yes	
row_103	RPS21	11480	-1.3400490283966064	-0.6725008	Yes	
row_104	UBA52	11485	-1.3510831594467163	-0.6677181	Yes	
row_105	RPS12	11516	-1.376637578010559	-0.6648	Yes	
row_106	RPL30	11589	-1.46909761428833	-0.6647014	Yes	
row_107	UTP25	11648	-1.5590975284576416	-0.66320825	Yes	
row_108	RPS13	11706	-1.623005986213684	-0.66139925	Yes	
row_109	RPS3	11730	-1.67835533618927	-0.65681785	Yes	
row_110	RPS29	11734	-1.6893092393875122	-0.65068686	Yes	
row_111	RPL7A	11755	-1.7281849384307861	-0.6456917	Yes	
row_112	FBL	11825	-1.8380688428878784	-0.64397836	Yes	
row_113	RPS6	11847	-1.8637542724609375	-0.6385484	Yes	
row_114	RPL28	11878	-1.9308435916900635	-0.63354474	Yes	
row_115	RPL21	11886	-1.9417338371276855	-0.62676555	Yes	
row_116	RPL24	11934	-2.017127513885498	-0.6227192	Yes	
row_117	DDX47	11946	-2.04073429107666	-0.6158691	Yes	
row_118	RPL38	11959	-2.0621509552001953	-0.60901386	Yes	
row_119	RPS23	11988	-2.1111056804656982	-0.60318094	Yes	
row_120	RPL15	11997	-2.126142978668213	-0.59578323	Yes	
row_121	RPL37	12039	-2.210381031036377	-0.59055716	Yes	
row_122	RPL23A	12052	-2.240267515182495	-0.5830316	Yes	
row_123	RPL8	12053	-2.240267515182495	-0.57460105	Yes	
row_124	RPL39	12090	-2.3081893920898438	-0.56862986	Yes	
row_125	RPS10	12091	-2.309427499771118	-0.5599391	Yes	
row_126	RPL6	12131	-2.4115078449249268	-0.5538053	Yes	
row_127	RPLP0	12151	-2.4509427547454834	-0.54601485	Yes	
row_128	RPL18A	12176	-2.5368850231170654	-0.53827804	Yes	
row_129	RPLP1	12184	-2.54803466796875	-0.5292172	Yes	
row_130	RPL7	12187	-2.553942918777466	-0.5197571	Yes	
row_131	RPL4	12199	-2.5930979251861572	-0.5108283	Yes	
row_132	RPS15A	12258	-2.7330992221832275	-0.50491726	Yes	
row_133	RPS25	12274	-2.7704403400421143	-0.49562278	Yes	
row_134	RPS11	12288	-2.8069539070129395	-0.4860401	Yes	
row_135	RPL27A	12297	-2.8155601024627686	-0.47604793	Yes	
row_136	RPL18	12305	-2.8328404426574707	-0.46591535	Yes	
row_137	RPS5	12310	-2.8434810638427734	-0.45551646	Yes	
row_138	CSNK1E	12333	-2.9195291996002197	-0.44618887	Yes	
row_139	RPL26	12334	-2.921002149581909	-0.4351966	Yes	
row_140	RPL17	12342	-2.946392297744751	-0.4246367	Yes	
row_141	RPS16	12370	-3.0238497257232666	-0.4152936	Yes	
row_142	RPS9	12407	-3.1494381427764893	-0.40615663	Yes	
row_143	RIOK3	12430	-3.2370214462280273	-0.39563423	Yes	
row_144	RPS2	12449	-3.295194149017334	-0.38459128	Yes	
row_145	RPS7	12470	-3.3674933910369873	-0.3734271	Yes	
row_146	RPS4X	12476	-3.3888471126556396	-0.3610513	Yes	
row_147	RPL14	12486	-3.432732343673706	-0.34881204	Yes	
row_148	RPS27	12488	-3.4427130222320557	-0.3359319	Yes	
row_149	RPL41	12502	-3.497469902038574	-0.32375067	Yes	
row_150	RPL13	12515	-3.539088010787964	-0.3113374	Yes	
row_151	RPS18	12527	-3.5865318775177	-0.2986702	Yes	
row_152	RPL34	12548	-3.6634202003479004	-0.28639236	Yes	
row_153	RPL35A	12599	-3.839956760406494	-0.27571264	Yes	
row_154	RPL13A	12601	-3.8501341342926025	-0.2612993	Yes	
row_155	RPL11	12606	-3.871591091156006	-0.24703145	Yes	
row_156	RPS20	12612	-3.9068212509155273	-0.23270644	Yes	
row_157	RPL37A	12625	-3.974315643310547	-0.21865535	Yes	
row_158	RPL36A	12630	-4.0011677742004395	-0.20389988	Yes	
row_159	RPS28	12649	-4.0779032707214355	-0.18991145	Yes	
row_160	RPL10	12695	-4.315329074859619	-0.17706574	Yes	
row_161	RPL3	12698	-4.330018043518066	-0.16092192	Yes	
row_162	RPL32	12703	-4.3558197021484375	-0.14483184	Yes	
row_163	RPS3A	12704	-4.355922698974609	-0.1284397	Yes	
row_164	RPS8	12721	-4.435816287994385	-0.11295354	Yes	
row_165	IMP3	12743	-4.559963703155518	-0.09737728	Yes	
row_166	RPL23	12750	-4.590398788452148	-0.08055525	Yes	
row_167	RPL29	12752	-4.5968194007873535	-0.063332	Yes	
row_168	RPL31	12755	-4.601333141326904	-0.046167165	Yes	
row_169	RPL22	12778	-4.65726375579834	-0.030300153	Yes	
row_170	RPL36	12820	-4.852655410766602	-0.015130729	Yes	
row_171	TSR1	12844	-4.948544025421143	0.0017570076	Yes	
row_172	RPL5	12847	-4.969137191772461	0.02030595	Yes	
row_173	RPSA	13105	-6.327545642852783	0.024736064	Yes	
