NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-F	98	9.43630599975586	0.029862022	Yes	
row_1	OAS1	110	9.348076820373535	0.06589064	Yes	
row_2	OAS3	124	9.203524589538574	0.10119964	Yes	
row_3	HLA-B	128	9.166566848754883	0.13711172	Yes	
row_4	LGALS9	137	9.127725601196289	0.1724963	Yes	
row_5	USP18	152	9.07492446899414	0.20722346	Yes	
row_6	PLK2	178	8.805740356445312	0.24006577	Yes	
row_7	DHX58	200	8.658288955688477	0.27262628	Yes	
row_8	HLA-E	239	8.400335311889648	0.30289698	Yes	
row_9	AHR	260	8.295648574829102	0.33410278	Yes	
row_10	NLRC5	268	8.214478492736816	0.365962	Yes	
row_11	SERPING1	291	8.05470085144043	0.39606816	Yes	
row_12	SAMHD1	330	7.760688781738281	0.42381722	Yes	
row_13	ISG15	362	7.54296350479126	0.4512321	Yes	
row_14	LGALS3	380	7.356611728668213	0.47896063	Yes	
row_15	HLA-A	404	7.185835838317871	0.50556666	Yes	
row_16	NMI	413	7.102932453155518	0.53296906	Yes	
row_17	PARP14	458	6.795360088348389	0.55646324	Yes	
row_18	CD55	507	6.485820770263672	0.5784377	Yes	
row_19	IL4I1	563	6.186347484588623	0.59870744	Yes	
row_20	TRIM21	573	6.135526657104492	0.6222212	Yes	
row_21	IFI16	589	6.030374050140381	0.6448711	Yes	
row_22	FURIN	600	5.973453998565674	0.6676711	Yes	
row_23	CD59	697	5.460726261138916	0.6820102	Yes	
row_24	BANF1	761	5.143617630004883	0.6975702	Yes	
row_25	ZC3H12A	930	4.459021091461182	0.7025691	Yes	
row_26	SERPINB9	990	4.233720302581787	0.7148416	Yes	
row_27	ANXA1	1026	4.08264684677124	0.7283156	Yes	
row_28	GRN	1091	3.887795925140381	0.73885	Yes	
row_29	STAT2	1265	3.316704511642456	0.73897123	Yes	
row_30	TRAFD1	1955	1.8898804187774658	0.6948304	No	
row_31	CD46	2027	1.8077161312103271	0.6966405	No	
row_32	YTHDF2	2068	1.7712804079055786	0.70062816	No	
row_33	TYRO3	2554	1.259705901145935	0.66927826	No	
row_34	MUL1	2586	1.2331774234771729	0.6718185	No	
row_35	PTPRC	2729	1.139296293258667	0.66567713	No	
row_36	CEACAM1	3583	0.6716440916061401	0.6044537	No	
row_37	TREX1	3780	0.608076810836792	0.5921747	No	
row_38	TRIM27	3804	0.5992745757102966	0.592815	No	
row_39	MAPK14	3838	0.5894781351089478	0.5926679	No	
row_40	SELENOS	4163	0.47983458638191223	0.5702989	No	
row_41	IRAK3	4242	0.4598575234413147	0.5662713	No	
row_42	LOXL3	4262	0.4557073712348938	0.5666451	No	
row_43	SRC	4524	0.39640194177627563	0.54866457	No	
row_44	PPARG	4642	0.3671247959136963	0.5413511	No	
row_45	RC3H1	4719	0.35182783007621765	0.5370473	No	
row_46	SMAD7	5433	0.2235460728406906	0.48454034	No	
row_47	PARP3	5750	0.1747034788131714	0.46156752	No	
row_48	LYAR	5827	0.1623508781194687	0.4565168	No	
row_49	TNFAIP3	5859	0.15811017155647278	0.45481887	No	
row_50	RPS19	5891	0.15612712502479553	0.45311314	No	
row_51	NLRC3	6006	0.1416517049074173	0.4451354	No	
row_52	FYN	6252	0.11034444719552994	0.42722523	No	
row_53	HFE	6950	0.0451212003827095	0.37521294	No	
row_54	CACTIN	7460	0.008204147219657898	0.33713222	No	
row_55	METTL3	7719	-0.009877743199467659	0.31785256	No	
row_56	ARRB2	7769	-0.01392234954982996	0.3142384	No	
row_57	RHBDF2	8106	-0.038473598659038544	0.28923094	No	
row_58	TNFSF4	8499	-0.08110295236110687	0.26019838	No	
row_59	NR1H3	8675	-0.09988423436880112	0.24748844	No	
row_60	SUSD4	8857	-0.12357800453901291	0.23442262	No	
row_61	MKRN2	9054	-0.14708559215068817	0.22032632	No	
row_62	FAM3A	9299	-0.18412946164608002	0.2027819	No	
row_63	WDR41	9334	-0.1897364854812622	0.20098402	No	
row_64	YTHDF3	9376	-0.19872993230819702	0.19869745	No	
row_65	MICA	10205	-0.4352996349334717	0.13841425	No	
row_66	SMCR8	10224	-0.44280511140823364	0.13881208	No	
row_67	PLCG1	10436	-0.536343514919281	0.12512714	No	
row_68	NR1H2	10790	-0.719081461429596	0.10152988	No	
row_69	LYN	10858	-0.7487956285476685	0.09946496	No	
row_70	USP15	10922	-0.7945775985717773	0.097880036	No	
row_71	PTPN2	10961	-0.8247230648994446	0.098285906	No	
row_72	FER	11288	-1.1268454790115356	0.07831786	No	
row_73	CNOT7	11477	-1.3385276794433594	0.069517516	No	
row_74	THOC1	11789	-1.768796682357788	0.053203367	No	
row_75	RC3H2	12074	-2.280029535293579	0.040926326	No	
row_76	TTLL12	12708	-4.371248245239258	0.010760821	No	
row_77	TNFRSF14	12723	-4.462122917175293	0.027303245	No	
row_78	YES1	13131	-6.540821552276611	0.022613198	No	
