NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-F	98	9.43630599975586	0.047599338	Yes	
row_1	OAS1	110	9.348076820373535	0.10118353	Yes	
row_2	OAS3	124	9.203524589538574	0.15377705	Yes	
row_3	HLA-B	128	9.166566848754883	0.20690241	Yes	
row_4	LGALS9	137	9.127725601196289	0.25942826	Yes	
row_5	USP18	152	9.07492446899414	0.31119862	Yes	
row_6	DHX58	200	8.658288955688477	0.35807928	Yes	
row_7	HLA-E	239	8.400335311889648	0.4041309	Yes	
row_8	NLRC5	268	8.214478492736816	0.44984776	Yes	
row_9	SERPING1	291	8.05470085144043	0.49508289	Yes	
row_10	SAMHD1	330	7.760688781738281	0.53741175	Yes	
row_11	ISG15	362	7.54296350479126	0.5789963	Yes	
row_12	HLA-A	404	7.185835838317871	0.6177554	Yes	
row_13	NMI	413	7.102932453155518	0.658497	Yes	
row_14	PARP14	458	6.795360088348389	0.6947595	Yes	
row_15	TRIM21	573	6.135526657104492	0.72195315	Yes	
row_16	IFI16	589	6.030374050140381	0.7559295	Yes	
row_17	BANF1	761	5.143617630004883	0.7730928	Yes	
row_18	SERPINB9	990	4.233720302581787	0.7807029	Yes	
row_19	GRN	1091	3.887795925140381	0.79586047	Yes	
row_20	STAT2	1265	3.316704511642456	0.8022417	Yes	
row_21	TRAFD1	1955	1.8898804187774658	0.7617768	No	
row_22	YTHDF2	2068	1.7712804079055786	0.76372	No	
row_23	TYRO3	2554	1.259705901145935	0.73482496	No	
row_24	MUL1	2586	1.2331774234771729	0.73968655	No	
row_25	CEACAM1	3583	0.6716440916061401	0.66920054	No	
row_26	TREX1	3780	0.608076810836792	0.6580996	No	
row_27	IRAK3	4242	0.4598575234413147	0.6263421	No	
row_28	PPARG	4642	0.3671247959136963	0.59867597	No	
row_29	LYAR	5827	0.1623508781194687	0.51118344	No	
row_30	TNFAIP3	5859	0.15811017155647278	0.50978816	No	
row_31	RPS19	5891	0.15612712502479553	0.5083813	No	
row_32	NLRC3	6006	0.1416517049074173	0.50069064	No	
row_33	CACTIN	7460	0.008204147219657898	0.39220834	No	
row_34	METTL3	7719	-0.009877743199467659	0.37299484	No	
row_35	ARRB2	7769	-0.01392234954982996	0.36941588	No	
row_36	NR1H3	8675	-0.09988423436880112	0.30239937	No	
row_37	SUSD4	8857	-0.12357800453901291	0.289599	No	
row_38	FAM3A	9299	-0.18412946164608002	0.2577307	No	
row_39	YTHDF3	9376	-0.19872993230819702	0.25321057	No	
row_40	MICA	10205	-0.4352996349334717	0.19389759	No	
row_41	NR1H2	10790	-0.719081461429596	0.15446149	No	
row_42	USP15	10922	-0.7945775985717773	0.14930105	No	
row_43	PTPN2	10961	-0.8247230648994446	0.15126258	No	
row_44	CNOT7	11477	-1.3385276794433594	0.12058553	No	
row_45	TTLL12	12708	-4.371248245239258	0.054152884	No	
