NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-F	98	9.43630599975586	0.036494616	Yes	
row_1	OAS1	110	9.348076820373535	0.0790914	Yes	
row_2	OAS3	124	9.203524589538574	0.120867066	Yes	
row_3	HLA-B	128	9.166566848754883	0.16321957	Yes	
row_4	LGALS9	137	9.127725601196289	0.20501742	Yes	
row_5	USP18	152	9.07492446899414	0.24612091	Yes	
row_6	DHX58	200	8.658288955688477	0.28281915	Yes	
row_7	HLA-E	239	8.400335311889648	0.31899288	Yes	
row_8	AHR	260	8.295648574829102	0.35602766	Yes	
row_9	NLRC5	268	8.214478492736816	0.3936585	Yes	
row_10	SERPING1	291	8.05470085144043	0.42942443	Yes	
row_11	SAMHD1	330	7.760688781738281	0.4626271	Yes	
row_12	ISG15	362	7.54296350479126	0.49534246	Yes	
row_13	HLA-A	404	7.185835838317871	0.5256505	Yes	
row_14	NMI	413	7.102932453155518	0.5580436	Yes	
row_15	PARP14	458	6.795360088348389	0.58631337	Yes	
row_16	IL4I1	563	6.186347484588623	0.60726345	Yes	
row_17	TRIM21	573	6.135526657104492	0.6350882	Yes	
row_18	IFI16	589	6.030374050140381	0.66197544	Yes	
row_19	PPM1B	732	5.284606456756592	0.6758928	Yes	
row_20	BANF1	761	5.143617630004883	0.6976881	Yes	
row_21	TRIB1	765	5.137185096740723	0.72132486	Yes	
row_22	SERPINB9	990	4.233720302581787	0.72422326	Yes	
row_23	GRN	1091	3.887795925140381	0.73479635	Yes	
row_24	STAT2	1265	3.316704511642456	0.7372528	Yes	
row_25	TRAFD1	1955	1.8898804187774658	0.694459	No	
row_26	YTHDF2	2068	1.7712804079055786	0.6943031	No	
row_27	TYRO3	2554	1.259705901145935	0.6638518	No	
row_28	MUL1	2586	1.2331774234771729	0.66725934	No	
row_29	C1QBP	2796	1.0952898263931274	0.65670305	No	
row_30	CARD16	2828	1.0798991918563843	0.6593986	No	
row_31	ATG5	2956	0.9785743951797485	0.65443796	No	
row_32	TKFC	3026	0.930887758731842	0.65359706	No	
row_33	CARD8	3227	0.8321918249130249	0.6424924	No	
row_34	CEACAM1	3583	0.6716440916061401	0.6190402	No	
row_35	TREX1	3780	0.608076810836792	0.60719395	No	
row_36	TRAF3IP1	4192	0.4748978912830353	0.5786363	No	
row_37	RNF26	4238	0.46098583936691284	0.5774092	No	
row_38	IRAK3	4242	0.4598575234413147	0.5793206	No	
row_39	NPLOC4	4328	0.44102001190185547	0.57500684	No	
row_40	PPARG	4642	0.3671247959136963	0.55328393	No	
row_41	GPATCH3	4824	0.333229124546051	0.5412838	No	
row_42	TARBP2	5661	0.18770691752433777	0.4795808	No	
row_43	LYAR	5827	0.1623508781194687	0.4679846	No	
row_44	TNFAIP3	5859	0.15811017155647278	0.46639863	No	
row_45	RPS19	5891	0.15612712502479553	0.46480346	No	
row_46	NLRC3	6006	0.1416517049074173	0.45692846	No	
row_47	SIRT2	6244	0.11130662262439728	0.43970594	No	
row_48	UFD1	6458	0.09161552786827087	0.42418838	No	
row_49	MICB	6868	0.051788393408060074	0.39381513	No	
row_50	RNF125	7190	0.028020672500133514	0.36991835	No	
row_51	CACTIN	7460	0.008204147219657898	0.34982172	No	
row_52	SEC14L1	7679	-0.0066800168715417385	0.33353537	No	
row_53	METTL3	7719	-0.009877743199467659	0.3306621	No	
row_54	ARRB2	7769	-0.01392234954982996	0.3270591	No	
row_55	NR1H3	8675	-0.09988423436880112	0.25978354	No	
row_56	SUSD4	8857	-0.12357800453901291	0.24680962	No	
row_57	MAPKBP1	8955	-0.13500922918319702	0.24017623	No	
row_58	FAM3A	9299	-0.18412946164608002	0.21535783	No	
row_59	YTHDF3	9376	-0.19872993230819702	0.21059227	No	
row_60	NFKBIL1	9744	-0.28350111842155457	0.18443902	No	
row_61	SIGIRR	9973	-0.3528265655040741	0.16901197	No	
row_62	ITCH	10004	-0.36128002405166626	0.16844454	No	
row_63	MICA	10205	-0.4352996349334717	0.15549636	No	
row_64	ILRUN	10630	-0.6288078427314758	0.12668054	No	
row_65	NR1H2	10790	-0.719081461429596	0.118119344	No	
row_66	USP15	10922	-0.7945775985717773	0.11200462	No	
row_67	PTPN2	10961	-0.8247230648994446	0.112991005	No	
row_68	CNOT7	11477	-1.3385276794433594	0.08066032	No	
row_69	TSPAN6	11728	-1.6772469282150269	0.069738254	No	
row_70	PCBP2	11894	-1.9502314329147339	0.06644643	No	
row_71	ATG12	12306	-2.8385345935821533	0.048867438	No	
row_72	RIOK3	12430	-3.2370214462280273	0.054696236	No	
row_73	TTLL12	12708	-4.371248245239258	0.054266367	No	
