NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFITM1	4	11.293049812316895	0.046281535	Yes	
row_1	BST2	37	10.366141319274902	0.0866486	Yes	
row_2	IFITM3	52	10.049569129943848	0.12705429	Yes	
row_3	IFIT1	54	10.04953384399414	0.16843078	Yes	
row_4	MX1	57	9.952366828918457	0.20933178	Yes	
row_5	PLSCR1	62	9.814299583435059	0.24951394	Yes	
row_6	APOBEC3G	106	9.358504295349121	0.28490326	Yes	
row_7	OAS1	110	9.348076820373535	0.32323706	Yes	
row_8	OAS3	124	9.203524589538574	0.36022776	Yes	
row_9	OAS2	140	9.122269630432129	0.39673394	Yes	
row_10	RSAD2	153	9.057879447937012	0.4331986	Yes	
row_11	OASL	156	9.010950088500977	0.47021657	Yes	
row_12	IFIH1	228	8.485713005065918	0.49991462	Yes	
row_13	RESF1	229	8.480900764465332	0.53489566	Yes	
row_14	APOBEC3B	238	8.411149978637695	0.56899154	Yes	
row_15	IFIT5	279	8.185748100280762	0.5997676	Yes	
row_16	IFITM2	300	7.960071086883545	0.6311067	Yes	
row_17	PARP10	310	7.8959550857543945	0.66300285	Yes	
row_18	ISG15	362	7.54296350479126	0.69030607	Yes	
row_19	ZNFX1	373	7.407229423522949	0.7201117	Yes	
row_20	EIF2AK2	381	7.349202632904053	0.74990207	Yes	
row_21	SHFL	575	6.122958660125732	0.7607425	Yes	
row_22	IFI16	589	6.030374050140381	0.78464496	Yes	
row_23	APOBEC3C	621	5.874753475189209	0.8065612	Yes	
row_24	ZC3HAV1	738	5.260916233062744	0.81959695	Yes	
row_25	SRPK1	742	5.234066009521484	0.84096175	Yes	
row_26	BANF1	761	5.143617630004883	0.86083317	Yes	
row_27	APOBEC3F	969	4.329597473144531	0.86323094	Yes	
row_28	ISG20	1369	3.009989023208618	0.84584564	No	
row_29	TNF	1797	2.1334056854248047	0.8227534	No	
row_30	N4BP1	2879	1.0364329814910889	0.74629045	No	
row_31	MPHOSPH8	3397	0.7509308457374573	0.710774	No	
row_32	APOBEC3D	3539	0.686524510383606	0.7030747	No	
row_33	ILF3	3960	0.541549563407898	0.6739394	No	
row_34	MORC2	3996	0.5277354121208191	0.673502	No	
row_35	FAM111A	4300	0.44755926728248596	0.6527176	No	
row_36	TASOR	5558	0.20386424660682678	0.5596754	No	
row_37	TNIP1	7030	0.03837226331233978	0.44996735	No	
row_38	INPP5K	7285	0.019661128520965576	0.43107766	No	
row_39	RNASEL	7916	-0.024454332888126373	0.38412496	No	
row_40	MAVS	9711	-0.27389129996299744	0.2512641	No	
row_41	HMGA2	9730	-0.27878478169441223	0.2510696	No	
row_42	SETDB1	10683	-0.6612886786460876	0.18269408	No	
row_43	SRPK2	11598	-1.4829055070877075	0.1205456	No	
row_44	TRIM6	12629	-3.9839296340942383	0.060049243	No	
