NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFITM1	4	11.293049812316895	0.03757387	Yes	
row_1	BST2	37	10.366141319274902	0.06994496	Yes	
row_2	LY6E	50	10.098483085632324	0.10291431	Yes	
row_3	IFITM3	52	10.049569129943848	0.13654235	Yes	
row_4	IFIT1	54	10.04953384399414	0.17017028	Yes	
row_5	MX1	57	9.952366828918457	0.20339754	Yes	
row_6	PLSCR1	62	9.814299583435059	0.23601219	Yes	
row_7	APOBEC3G	106	9.358504295349121	0.2641813	Yes	
row_8	OAS1	110	9.348076820373535	0.29530716	Yes	
row_9	OAS3	124	9.203524589538574	0.32520032	Yes	
row_10	OAS2	140	9.122269630432129	0.3546714	Yes	
row_11	RSAD2	153	9.057879447937012	0.38415092	Yes	
row_12	OASL	156	9.010950088500977	0.414221	Yes	
row_13	IFIH1	228	8.485713005065918	0.43736878	Yes	
row_14	RESF1	229	8.480900764465332	0.46581084	Yes	
row_15	APOBEC3B	238	8.411149978637695	0.49342063	Yes	
row_16	STAT1	267	8.214478492736816	0.51887494	Yes	
row_17	TRIM14	277	8.189796447753906	0.5456676	Yes	
row_18	IFIT5	279	8.185748100280762	0.573045	Yes	
row_19	IFITM2	300	7.960071086883545	0.5982445	Yes	
row_20	PARP10	310	7.8959550857543945	0.6240517	Yes	
row_21	ISG15	362	7.54296350479126	0.64553374	Yes	
row_22	ZNFX1	373	7.407229423522949	0.66962713	Yes	
row_23	EIF2AK2	381	7.349202632904053	0.69375026	Yes	
row_24	TRIM26	433	6.965139865875244	0.71329445	Yes	
row_25	TRIM21	573	6.135526657104492	0.7234745	Yes	
row_26	SHFL	575	6.122958660125732	0.74393404	Yes	
row_27	IFI16	589	6.030374050140381	0.76318556	Yes	
row_28	APOBEC3C	621	5.874753475189209	0.78056884	Yes	
row_29	ZC3HAV1	738	5.260916233062744	0.78953606	Yes	
row_30	SRPK1	742	5.234066009521484	0.8068649	Yes	
row_31	BANF1	761	5.143617630004883	0.82276857	Yes	
row_32	GSN	764	5.137185096740723	0.8398474	Yes	
row_33	APOBEC3F	969	4.329597473144531	0.8391093	Yes	
row_34	TRIM5	1000	4.180973052978516	0.85088706	Yes	
row_35	ISG20	1369	3.009989023208618	0.83345723	No	
row_36	TNF	1797	2.1334056854248047	0.80867475	No	
row_37	UBP1	2411	1.4002925157546997	0.767522	No	
row_38	N4BP1	2879	1.0364329814910889	0.73606884	No	
row_39	MPHOSPH8	3397	0.7509308457374573	0.69991857	No	
row_40	APOBEC3D	3539	0.686524510383606	0.69167495	No	
row_41	TRIM27	3804	0.5992745757102966	0.673939	No	
row_42	ILF3	3960	0.541549563407898	0.66416204	No	
row_43	MORC2	3996	0.5277354121208191	0.6633141	No	
row_44	FAM111A	4300	0.44755926728248596	0.64215237	No	
row_45	TRIM62	4618	0.37213486433029175	0.6196906	No	
row_46	TRIM13	4879	0.32428833842277527	0.60133165	No	
row_47	PTX3	5540	0.20545682311058044	0.5526564	No	
row_48	TRIM32	5555	0.2042035311460495	0.55229414	No	
row_49	TASOR	5558	0.20386424660682678	0.55282825	No	
row_50	TRIM11	5995	0.14294807612895966	0.5206973	No	
row_51	ZFP36	6367	0.10061869025230408	0.49328607	No	
row_52	HEXIM1	6472	0.08984779566526413	0.48580876	No	
row_53	TNIP1	7030	0.03837226331233978	0.44427702	No	
row_54	INPP5K	7285	0.019661128520965576	0.4253452	No	
row_55	PPIA	7861	-0.019422132521867752	0.3824036	No	
row_56	RNASEL	7916	-0.024454332888126373	0.37844673	No	
row_57	MAVS	9711	-0.27389129996299744	0.24518427	No	
row_58	HMGA2	9730	-0.27878478169441223	0.24477293	No	
row_59	SETDB1	10683	-0.6612886786460876	0.17578648	No	
row_60	MID2	10836	-0.7378065586090088	0.1668921	No	
row_61	SRPK2	11598	-1.4829055070877075	0.11494678	No	
row_62	SNX3	12212	-2.6211869716644287	0.077888444	No	
row_63	TRIM6	12629	-3.9839296340942383	0.060134754	No	
