NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAGOH	1546	2.6146178245544434	-0.105042234	No	
row_1	NCBP1	1558	2.5755615234375	-0.095060006	No	
row_2	RPL22L1	1608	2.4702391624450684	-0.08837131	No	
row_3	MAGOHB	1780	2.152974843978882	-0.09216896	No	
row_4	PPP2CA	2034	1.801796317100525	-0.103593625	No	
row_5	SMG9	2495	1.331969976425171	-0.13252334	No	
row_6	UPF1	2538	1.2832560539245605	-0.13029021	No	
row_7	EIF4A3	2812	1.0839258432388306	-0.14622808	No	
row_8	UPF3A	3007	0.9464718699455261	-0.15681444	No	
row_9	PNRC2	3641	0.6532266139984131	-0.20157447	No	
row_10	NCBP2	4177	0.4776417016983032	-0.23971726	No	
row_11	GSPT2	4214	0.4658285081386566	-0.24046402	No	
row_12	RPL39L	4506	0.4006569981575012	-0.26061976	No	
row_13	RPS27L	4790	0.3397424817085266	-0.2804308	No	
row_14	RPL26L1	4848	0.32861843705177307	-0.2833292	No	
row_15	EIF4G1	5115	0.27894219756126404	-0.30211967	No	
row_16	UPF3B	5187	0.26691219210624695	-0.30632758	No	
row_17	RPL36AL	5312	0.24372194707393646	-0.31460997	No	
row_18	RNPS1	5869	0.15771989524364471	-0.35567108	No	
row_19	RPS19	5891	0.15612712502479553	-0.3565918	No	
row_20	PPP2R1A	6561	0.08045051246881485	-0.40645683	No	
row_21	ETF1	6622	0.07614610344171524	-0.41063976	No	
row_22	RPL35	6981	0.04188153147697449	-0.43732882	No	
row_23	RPS14	7900	-0.02286824770271778	-0.50612074	No	
row_24	SMG6	7981	-0.02985246479511261	-0.5119988	No	
row_25	UPF2	8131	-0.041419971734285355	-0.5230061	No	
row_26	RPS26	8205	-0.04904789850115776	-0.5282783	No	
row_27	GSPT1	8301	-0.0574079267680645	-0.5351663	No	
row_28	RPL12	9332	-0.18950848281383514	-0.61166364	No	
row_29	RPS27A	9441	-0.21117375791072845	-0.61888194	No	
row_30	SMG8	10871	-0.7599910497665405	-0.7229268	No	
row_31	FAU	10905	-0.7829902172088623	-0.72211754	No	
row_32	RPLP2	10925	-0.7973757982254028	-0.7201974	No	
row_33	RPS15	11066	-0.895615816116333	-0.7269449	No	
row_34	CASC3	11084	-0.9158386588096619	-0.7243775	No	
row_35	RPS24	11201	-1.0123951435089111	-0.72883403	No	
row_36	RPL10A	11226	-1.0570340156555176	-0.7261995	No	
row_37	RPL27	11368	-1.2217673063278198	-0.73165345	Yes	
row_38	SMG1	11370	-1.2242836952209473	-0.7265911	Yes	
row_39	RPL19	11452	-1.3151278495788574	-0.72715086	Yes	
row_40	RPS21	11480	-1.3400490283966064	-0.7235538	Yes	
row_41	UBA52	11485	-1.3510831594467163	-0.7181845	Yes	
row_42	RPS12	11516	-1.376637578010559	-0.71465904	Yes	
row_43	SMG7	11586	-1.4642583131790161	-0.7136925	Yes	
row_44	RPL30	11589	-1.46909761428833	-0.7076779	Yes	
row_45	RPS13	11706	-1.623005986213684	-0.70957214	Yes	
row_46	RPS3	11730	-1.67835533618927	-0.7042553	Yes	
row_47	RPS29	11734	-1.6893092393875122	-0.6973917	Yes	
row_48	RPL7A	11755	-1.7281849384307861	-0.6916406	Yes	
row_49	PPP2R2A	11833	-1.8487534523010254	-0.68966097	Yes	
row_50	RPS6	11847	-1.8637542724609375	-0.68281573	Yes	
row_51	RPL28	11878	-1.9308435916900635	-0.6769647	Yes	
row_52	RPL21	11886	-1.9417338371276855	-0.669342	Yes	
row_53	RPL24	11934	-2.017127513885498	-0.6644046	Yes	
row_54	RPL38	11959	-2.0621509552001953	-0.6575523	Yes	
row_55	RPS23	11988	-2.1111056804656982	-0.65079474	Yes	
row_56	RPL15	11997	-2.126142978668213	-0.6424732	Yes	
row_57	RPL37	12039	-2.210381031036377	-0.63627464	Yes	
row_58	RPL23A	12052	-2.240267515182495	-0.6277744	Yes	
row_59	RPL8	12053	-2.240267515182495	-0.6183737	Yes	
row_60	RPL39	12090	-2.3081893920898438	-0.61138946	Yes	
row_61	RPS10	12091	-2.309427499771118	-0.6016986	Yes	
row_62	RPL6	12131	-2.4115078449249268	-0.5945059	Yes	
row_63	RPLP0	12151	-2.4509427547454834	-0.5856469	Yes	
row_64	RPL18A	12176	-2.5368850231170654	-0.57680255	Yes	
row_65	RPLP1	12184	-2.54803466796875	-0.56663567	Yes	
row_66	RPL7	12187	-2.553942918777466	-0.5560688	Yes	
