NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCBP1	1558	2.5755615234375	-0.10490041	No	
row_1	RPL22L1	1608	2.4702391624450684	-0.09720113	No	
row_2	UPF1	2538	1.2832560539245605	-0.16091317	No	
row_3	NCBP2	4177	0.4776417016983032	-0.28146622	No	
row_4	GSPT2	4214	0.4658285081386566	-0.2820197	No	
row_5	RPL39L	4506	0.4006569981575012	-0.3019829	No	
row_6	RPS27L	4790	0.3397424817085266	-0.321627	No	
row_7	RPL26L1	4848	0.32861843705177307	-0.32438582	No	
row_8	EIF4G1	5115	0.27894219756126404	-0.34303582	No	
row_9	RPL36AL	5312	0.24372194707393646	-0.35660213	No	
row_10	RPS19	5891	0.15612712502479553	-0.39919877	No	
row_11	ETF1	6622	0.07614610344171524	-0.45355448	No	
row_12	RPL35	6981	0.04188153147697449	-0.48019022	No	
row_13	RPS14	7900	-0.02286824770271778	-0.5488799	No	
row_14	RPS26	8205	-0.04904789850115776	-0.5714359	No	
row_15	GSPT1	8301	-0.0574079267680645	-0.57829094	No	
row_16	RPL12	9332	-0.18950848281383514	-0.6546068	No	
row_17	RPS27A	9441	-0.21117375791072845	-0.66172826	No	
row_18	FAU	10905	-0.7829902172088623	-0.7677612	No	
row_19	RPLP2	10925	-0.7973757982254028	-0.76551443	No	
row_20	RPS15	11066	-0.895615816116333	-0.77188325	No	
row_21	RPS24	11201	-1.0123951435089111	-0.7772648	No	
row_22	RPL10A	11226	-1.0570340156555176	-0.77419746	No	
row_23	RPL27	11368	-1.2217673063278198	-0.7791398	No	
row_24	RPL19	11452	-1.3151278495788574	-0.7793059	Yes	
row_25	RPS21	11480	-1.3400490283966064	-0.77516055	Yes	
row_26	UBA52	11485	-1.3510831594467163	-0.7692408	Yes	
row_27	RPS12	11516	-1.376637578010559	-0.76515186	Yes	
row_28	RPL30	11589	-1.46909761428833	-0.7637848	Yes	
row_29	RPS13	11706	-1.623005986213684	-0.7650066	Yes	
row_30	RPS3	11730	-1.67835533618927	-0.7590042	Yes	
row_31	RPS29	11734	-1.6893092393875122	-0.75145257	Yes	
row_32	RPL7A	11755	-1.7281849384307861	-0.7449959	Yes	
row_33	RPS6	11847	-1.8637542724609375	-0.74323595	Yes	
row_34	RPL28	11878	-1.9308435916900635	-0.73659587	Yes	
row_35	RPL21	11886	-1.9417338371276855	-0.72818196	Yes	
row_36	RPL24	11934	-2.017127513885498	-0.7224186	Yes	
row_37	RPL38	11959	-2.0621509552001953	-0.7147244	Yes	
row_38	RPS23	11988	-2.1111056804656982	-0.7071046	Yes	
row_39	RPL15	11997	-2.126142978668213	-0.69791675	Yes	
row_40	RPL37	12039	-2.210381031036377	-0.69081414	Yes	
row_41	RPL23A	12052	-2.240267515182495	-0.6814007	Yes	
row_42	RPL8	12053	-2.240267515182495	-0.67108804	Yes	
row_43	RPL39	12090	-2.3081893920898438	-0.6631605	Yes	
row_44	RPS10	12091	-2.309427499771118	-0.6525294	Yes	
row_45	RPL6	12131	-2.4115078449249268	-0.64435107	Yes	
row_46	RPLP0	12151	-2.4509427547454834	-0.6344924	Yes	
row_47	RPL18A	12176	-2.5368850231170654	-0.62461287	Yes	
row_48	RPLP1	12184	-2.54803466796875	-0.61340797	Yes	
row_49	RPL7	12187	-2.553942918777466	-0.60180116	Yes	
row_50	RPL4	12199	-2.5930979251861572	-0.5906886	Yes	
row_51	RPS15A	12258	-2.7330992221832275	-0.5824537	Yes	
row_52	RPS25	12274	-2.7704403400421143	-0.57082456	Yes	
row_53	RPS11	12288	-2.8069539070129395	-0.5588774	Yes	
row_54	RPL27A	12297	-2.8155601024627686	-0.546516	Yes	
row_55	RPL18	12305	-2.8328404426574707	-0.53400004	Yes	
row_56	RPS5	12310	-2.8434810638427734	-0.5212103	Yes	
row_57	RPL26	12334	-2.921002149581909	-0.50948757	Yes	
row_58	RPL17	12342	-2.946392297744751	-0.49644887	Yes	
row_59	RPS16	12370	-3.0238497257232666	-0.48455247	Yes	
row_60	RPS9	12407	-3.1494381427764893	-0.47275236	Yes	
row_61	RPS2	12449	-3.295194149017334	-0.46065602	Yes	
