NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL22L1	1608	2.4702391624450684	-0.108966604	No	
row_1	RPL39L	4506	0.4006569981575012	-0.32410792	No	
row_2	RPS27L	4790	0.3397424817085266	-0.34372714	No	
row_3	RPL26L1	4848	0.32861843705177307	-0.34646922	No	
row_4	RPL36AL	5312	0.24372194707393646	-0.38001794	No	
row_5	RPS19	5891	0.15612712502479553	-0.42258805	No	
row_6	RPL35	6981	0.04188153147697449	-0.5039664	No	
row_7	RPS14	7900	-0.02286824770271778	-0.57262415	No	
row_8	RPS26	8205	-0.04904789850115776	-0.5951677	No	
row_9	RPL12	9332	-0.18950848281383514	-0.67863137	No	
row_10	RPS27A	9441	-0.21117375791072845	-0.6857396	No	
row_11	FAU	10905	-0.7829902172088623	-0.7916879	No	
row_12	RPLP2	10925	-0.7973757982254028	-0.7894046	No	
row_13	RPS15	11066	-0.895615816116333	-0.7957282	No	
row_14	RPS24	11201	-1.0123951435089111	-0.80105954	No	
row_15	RPL10A	11226	-1.0570340156555176	-0.7979437	No	
row_16	RPL27	11368	-1.2217673063278198	-0.80282617	No	
row_17	RPL19	11452	-1.3151278495788574	-0.80293006	Yes	
row_18	RPS21	11480	-1.3400490283966064	-0.79872334	Yes	
row_19	UBA52	11485	-1.3510831594467163	-0.7927425	Yes	
row_20	RPS12	11516	-1.376637578010559	-0.78859043	Yes	
row_21	RPL30	11589	-1.46909761428833	-0.7871546	Yes	
row_22	RPS13	11706	-1.623005986213684	-0.78829926	Yes	
row_23	RPS3	11730	-1.67835533618927	-0.7822203	Yes	
row_24	RPS29	11734	-1.6893092393875122	-0.77459234	Yes	
row_25	RPL7A	11755	-1.7281849384307861	-0.76805705	Yes	
row_26	RPS6	11847	-1.8637542724609375	-0.7662099	Yes	
row_27	RPL28	11878	-1.9308435916900635	-0.75948167	Yes	
row_28	RPL21	11886	-1.9417338371276855	-0.7509799	Yes	
row_29	RPL24	11934	-2.017127513885498	-0.7451239	Yes	
row_30	RPL38	11959	-2.0621509552001953	-0.73733586	Yes	
row_31	RPS23	11988	-2.1111056804656982	-0.7296198	Yes	
row_32	RPL15	11997	-2.126142978668213	-0.7203357	Yes	
row_33	EEF1A1	12012	-2.1552469730377197	-0.7113658	Yes	
row_34	RPL37	12039	-2.210381031036377	-0.70303845	Yes	
row_35	RPL23A	12052	-2.240267515182495	-0.6935235	Yes	
row_36	RPL8	12053	-2.240267515182495	-0.6831097	Yes	
