NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFITM1	4	11.293049812316895	0.040426966	Yes	
row_1	BST2	37	10.366141319274902	0.07541635	Yes	
row_2	IFITM3	52	10.049569129943848	0.110610776	Yes	
row_3	IFIT1	54	10.04953384399414	0.14677769	Yes	
row_4	MX1	57	9.952366828918457	0.18251936	Yes	
row_5	PLSCR1	62	9.814299583435059	0.2176135	Yes	
row_6	APOBEC3G	106	9.358504295349121	0.24814604	Yes	
row_7	OAS1	110	9.348076820373535	0.28163365	Yes	
row_8	OAS3	124	9.203524589538574	0.3138518	Yes	
row_9	OAS2	140	9.122269630432129	0.34562728	Yes	
row_10	RSAD2	153	9.057879447937012	0.377395	Yes	
row_11	OASL	156	9.010950088500977	0.40974164	Yes	
row_12	IFIH1	228	8.485713005065918	0.43503177	Yes	
row_13	RESF1	229	8.480900764465332	0.46561652	Yes	
row_14	APOBEC3B	238	8.411149978637695	0.4953512	Yes	
row_15	IFIT5	279	8.185748100280762	0.5218789	Yes	
row_16	IFITM2	300	7.960071086883545	0.549089	Yes	
row_17	PARP10	310	7.8959550857543945	0.57689095	Yes	
row_18	CXCL8	353	7.6093831062316895	0.6011904	Yes	
row_19	ISG15	362	7.54296350479126	0.62779415	Yes	
row_20	ZNFX1	373	7.407229423522949	0.65375876	Yes	
row_21	EIF2AK2	381	7.349202632904053	0.6797385	Yes	
row_22	SHFL	575	6.122958660125732	0.6873802	Yes	
row_23	IFI16	589	6.030374050140381	0.708155	Yes	
row_24	ADAR	602	5.964136600494385	0.72876567	Yes	
row_25	APOBEC3C	621	5.874753475189209	0.74860513	Yes	
row_26	ZC3HAV1	738	5.260916233062744	0.7588989	Yes	
row_27	SRPK1	742	5.234066009521484	0.7775501	Yes	
row_28	BANF1	761	5.143617630004883	0.7947529	Yes	
row_29	APOBEC3F	969	4.329597473144531	0.79487973	Yes	
row_30	HACD3	1262	3.33735728263855	0.7850688	No	
row_31	ISG20	1369	3.009989023208618	0.7879932	No	
row_32	DDB1	1422	2.864224433898926	0.794432	No	
row_33	TNF	1797	2.1334056854248047	0.77414423	No	
row_34	STAU1	1961	1.8836686611175537	0.7687422	No	
row_35	PPID	2072	1.7690973281860352	0.7668923	No	
row_36	N4BP1	2879	1.0364329814910889	0.71032774	No	
row_37	PPARA	2898	1.018770694732666	0.71265507	No	
row_38	TOP2A	3064	0.911012589931488	0.7035957	No	
row_39	DDX3X	3228	0.8305752873420715	0.69439584	No	
row_40	TOP2B	3276	0.8056379556655884	0.69378483	No	
row_41	MPHOSPH8	3397	0.7509308457374573	0.68751496	No	
row_42	APOBEC3D	3539	0.686524510383606	0.67944163	No	
row_43	VAPB	3764	0.6122581958770752	0.66489065	No	
row_44	ILF3	3960	0.541549563407898	0.6522544	No	
row_45	MORC2	3996	0.5277354121208191	0.65153897	No	
row_46	FAM111A	4300	0.44755926728248596	0.63048357	No	
row_47	PKN2	5020	0.2979225218296051	0.57776475	No	
row_48	TASOR	5558	0.20386424660682678	0.5383234	No	
row_49	TARBP2	5661	0.18770691752433777	0.53136903	No	
row_50	PPIH	6269	0.10887723416090012	0.4863479	No	
row_51	PPIE	6952	0.0451212003827095	0.43548566	No	
row_52	TMEM39A	6965	0.043627165257930756	0.4347452	No	
row_53	ADARB1	7028	0.0384235605597496	0.43024513	No	
row_54	TNIP1	7030	0.03837226331233978	0.4303087	No	
row_55	PDE12	7177	0.02933155559003353	0.41949123	No	
row_56	INPP5K	7285	0.019661128520965576	0.41155675	No	
row_57	PPIA	7861	-0.019422132521867752	0.3686072	No	
row_58	RNASEL	7916	-0.024454332888126373	0.3646553	No	
row_59	MAVS	9711	-0.27389129996299744	0.23142186	No	
row_60	HMGA2	9730	-0.27878478169441223	0.23108053	No	
row_61	RAD23A	10123	-0.4061354994773865	0.20321704	No	
row_62	SETDB1	10683	-0.6612886786460876	0.16377932	No	
row_63	LARP1	11091	-0.9229958057403564	0.13665752	No	
row_64	CNOT7	11477	-1.3385276794433594	0.11268024	No	
row_65	SRPK2	11598	-1.4829055070877075	0.10905005	No	
row_66	PABPC1	12589	-3.8049466609954834	0.048703335	No	
row_67	TRIM6	12629	-3.9839296340942383	0.06015277	No	
