NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFITM1	4	11.293049812316895	0.028066564	Yes	
row_1	BST2	37	10.366141319274902	0.05170497	Yes	
row_2	LY6E	50	10.098483085632324	0.07617098	Yes	
row_3	IFITM3	52	10.049569129943848	0.10133909	Yes	
row_4	IFIT1	54	10.04953384399414	0.1265071	Yes	
row_5	MX1	57	9.952366828918457	0.15135606	Yes	
row_6	PLSCR1	62	9.814299583435059	0.1757082	Yes	
row_7	APOBEC3G	106	9.358504295349121	0.1959906	Yes	
row_8	OAS1	110	9.348076820373535	0.21924667	Yes	
row_9	OAS3	124	9.203524589538574	0.24138968	Yes	
row_10	LGALS9	137	9.127725601196289	0.26341727	Yes	
row_11	OAS2	140	9.122269630432129	0.28618115	Yes	
row_12	RSAD2	153	9.057879447937012	0.3080333	Yes	
row_13	OASL	156	9.010950088500977	0.33051753	Yes	
row_14	TRIM22	162	8.971125602722168	0.35267678	Yes	
row_15	IFIH1	228	8.485713005065918	0.36911693	Yes	
row_16	RESF1	229	8.480900764465332	0.39041975	Yes	
row_17	APOBEC3B	238	8.411149978637695	0.4109474	Yes	
row_18	LAMP3	241	8.397090911865234	0.4318897	Yes	
row_19	TRIM14	277	8.189796447753906	0.44983646	Yes	
row_20	IFIT5	279	8.185748100280762	0.4703229	Yes	
row_21	IFITM2	300	7.960071086883545	0.48881757	Yes	
row_22	PARP10	310	7.8959550857543945	0.5079761	Yes	
row_23	CXCL8	353	7.6093831062316895	0.52393997	Yes	
row_24	ISG15	362	7.54296350479126	0.5422869	Yes	
row_25	ZNFX1	373	7.407229423522949	0.5601428	Yes	
row_26	EIF2AK2	381	7.349202632904053	0.57807803	Yes	
row_27	TMPRSS2	397	7.2539238929748535	0.5951739	Yes	
row_28	TRIM25	407	7.14782190322876	0.6124533	Yes	
row_29	TRIM26	433	6.965139865875244	0.6280738	Yes	
row_30	TRIM21	573	6.135526657104492	0.63306093	Yes	
row_31	SHFL	575	6.122958660125732	0.6483659	Yes	
row_32	IFI16	589	6.030374050140381	0.6625384	Yes	
row_33	ADAR	602	5.964136600494385	0.6766195	Yes	
row_34	APOBEC3C	621	5.874753475189209	0.69002616	Yes	
row_35	ZC3HAV1	738	5.260916233062744	0.6945413	Yes	
row_36	SRPK1	742	5.234066009521484	0.7074635	Yes	
row_37	BANF1	761	5.143617630004883	0.7190336	Yes	
row_38	GSN	764	5.137185096740723	0.7317875	Yes	
row_39	KPNA2	825	4.881389141082764	0.7395491	Yes	
row_40	TRIM34	869	4.689650058746338	0.748104	Yes	
row_41	APOBEC3F	969	4.329597473144531	0.7515547	Yes	
row_42	TRIM5	1000	4.180973052978516	0.7598068	Yes	
row_43	HACD3	1262	3.33735728263855	0.7486158	No	
row_44	ISG20	1369	3.009989023208618	0.7482269	No	
row_45	DDB1	1422	2.864224433898926	0.7515216	No	
row_46	LGALS1	1442	2.813649892807007	0.7571641	No	
row_47	TRIM38	1529	2.632965564727783	0.7573281	No	
row_48	NECTIN2	1766	2.168687105178833	0.7450764	No	
row_49	TNF	1797	2.1334056854248047	0.74818534	No	
row_50	AXL	1914	1.9364488124847412	0.7443499	No	
row_51	STAU1	1961	1.8836686611175537	0.7456316	No	
row_52	FMR1	2070	1.7708922624588013	0.7419802	No	
row_53	PPID	2072	1.7690973281860352	0.7463489	No	
row_54	TYRO3	2554	1.259705901145935	0.71343994	No	
row_55	TRIM68	2602	1.219137191772461	0.7129774	No	
row_56	N4BP1	2879	1.0364329814910889	0.6948818	No	
row_57	PPARA	2898	1.018770694732666	0.6960909	No	
row_58	TOP2A	3064	0.911012589931488	0.6860048	No	
row_59	DDX3X	3228	0.8305752873420715	0.6758667	No	
row_60	TOP2B	3276	0.8056379556655884	0.6743656	No	
row_61	MPHOSPH8	3397	0.7509308457374573	0.66725224	No	
row_62	APOBEC3D	3539	0.686524510383606	0.6584022	No	
row_63	VAPB	3764	0.6122581958770752	0.643141	No	
row_64	TRIM27	3804	0.5992745757102966	0.6417214	No	
row_65	ILF3	3960	0.541549563407898	0.63145727	No	
row_66	MORC2	3996	0.5277354121208191	0.630158	No	
row_67	VPS4A	4034	0.5174941420555115	0.62868303	No	
row_68	FAM111A	4300	0.44755926728248596	0.60993326	No	
row_69	TRIM62	4618	0.37213486433029175	0.5870942	No	
row_70	PKN2	5020	0.2979225218296051	0.557769	No	
row_71	TSG101	5334	0.24102170765399933	0.5349006	No	
row_72	PTX3	5540	0.20545682311058044	0.5200425	No	
row_73	TASOR	5558	0.20386424660682678	0.5192796	No	
row_74	VPS37B	5635	0.1915014237165451	0.5140609	No	
row_75	TARBP2	5661	0.18770691752433777	0.51265746	No	
row_76	TRIM11	5995	0.14294807612895966	0.4880428	No	
row_77	KPNA6	6093	0.1293778270483017	0.48109314	No	
row_78	PPIH	6269	0.10887723416090012	0.4682423	No	
row_79	PPIE	6952	0.0451212003827095	0.4172082	No	
row_80	TMEM39A	6965	0.043627165257930756	0.4164178	No	
row_81	ADARB1	7028	0.0384235605597496	0.41186455	No	
row_82	TNIP1	7030	0.03837226331233978	0.41188595	No	
row_83	PDE12	7177	0.02933155559003353	0.4010102	No	
row_84	INPP5K	7285	0.019661128520965576	0.39303496	No	
row_85	PPIA	7861	-0.019422132521867752	0.3499609	No	
row_86	RNASEL	7916	-0.024454332888126373	0.34597254	No	
row_87	MAVS	9711	-0.27389129996299744	0.21211724	No	
row_88	HMGA2	9730	-0.27878478169441223	0.21146758	No	
row_89	RAD23A	10123	-0.4061354994773865	0.1830892	No	
row_90	SETDB1	10683	-0.6612886786460876	0.14282736	No	
row_91	MID2	10836	-0.7378065586090088	0.1332812	No	
row_92	LARP1	11091	-0.9229958057403564	0.11655059	No	
row_93	CNOT7	11477	-1.3385276794433594	0.091039225	No	
row_94	SRPK2	11598	-1.4829055070877075	0.08576452	No	
row_95	SNX3	12212	-2.6211869716644287	0.046375874	No	
row_96	PABPC1	12589	-3.8049466609954834	0.027734773	No	
row_97	TRIM6	12629	-3.9839296340942383	0.034816988	No	
row_98	P4HB	12789	-4.691946506500244	0.034678094	No	
row_99	CD74	12930	-5.392221450805664	0.037723117	No	
