NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFITM1	4	11.293049812316895	0.026030483	Yes	
row_1	BST2	37	10.366141319274902	0.047797374	Yes	
row_2	LY6E	50	10.098483085632324	0.07044192	Yes	
row_3	IFITM3	52	10.049569129943848	0.09379837	Yes	
row_4	IFIT1	54	10.04953384399414	0.11715473	Yes	
row_5	MX1	57	9.952366828918457	0.14020945	Yes	
row_6	PLSCR1	62	9.814299583435059	0.1627921	Yes	
row_7	APOBEC3G	106	9.358504295349121	0.18138364	Yes	
row_8	OAS1	110	9.348076820373535	0.2029543	Yes	
row_9	OAS3	124	9.203524589538574	0.22343709	Yes	
row_10	LGALS9	137	9.127725601196289	0.24381822	Yes	
row_11	OAS2	140	9.122269630432129	0.2649375	Yes	
row_12	RSAD2	153	9.057879447937012	0.28515577	Yes	
row_13	OASL	156	9.010950088500977	0.3060155	Yes	
row_14	TRIM22	162	8.971125602722168	0.3265571	Yes	
row_15	IFIH1	228	8.485713005065918	0.34146175	Yes	
row_16	RESF1	229	8.480900764465332	0.36123577	Yes	
row_17	APOBEC3B	238	8.411149978637695	0.3802465	Yes	
row_18	LAMP3	241	8.397090911865234	0.39967495	Yes	
row_19	STAT1	267	8.214478492736816	0.4169506	Yes	
row_20	TRIM14	277	8.189796447753906	0.43537015	Yes	
row_21	IFIT5	279	8.185748100280762	0.45438093	Yes	
row_22	IFITM2	300	7.960071086883545	0.47143885	Yes	
row_23	PARP10	310	7.8959550857543945	0.48917326	Yes	
row_24	CXCL8	353	7.6093831062316895	0.50376165	Yes	
row_25	ISG15	362	7.54296350479126	0.5207481	Yes	
row_26	ZNFX1	373	7.407229423522949	0.5372679	Yes	
row_27	EIF2AK2	381	7.349202632904053	0.55387765	Yes	
row_28	TMPRSS2	397	7.2539238929748535	0.5696646	Yes	
row_29	TRIM25	407	7.14782190322876	0.5856546	Yes	
row_30	TRIM26	433	6.965139865875244	0.60001737	Yes	
row_31	TRIM21	573	6.135526657104492	0.60388595	Yes	
row_32	SHFL	575	6.122958660125732	0.6180871	Yes	
row_33	IFI16	589	6.030374050140381	0.6311714	Yes	
row_34	ADAR	602	5.964136600494385	0.6441763	Yes	
row_35	APOBEC3C	621	5.874753475189209	0.65652233	Yes	
row_36	ZC3HAV1	738	5.260916233062744	0.66007864	Yes	
row_37	SRPK1	742	5.234066009521484	0.6720571	Yes	
row_38	BANF1	761	5.143617630004883	0.68269837	Yes	
row_39	GSN	764	5.137185096740723	0.6945261	Yes	
row_40	KPNA2	825	4.881389141082764	0.7014023	Yes	
row_41	TRIM34	869	4.689650058746338	0.70910794	Yes	
row_42	DHX9	917	4.504456996917725	0.71608144	Yes	
row_43	APOBEC3F	969	4.329597473144531	0.72234696	Yes	
row_44	TRIM5	1000	4.180973052978516	0.72984266	Yes	
row_45	HACD3	1262	3.33735728263855	0.7180265	No	
row_46	ISG20	1369	3.009989023208618	0.7170854	No	
row_47	DDB1	1422	2.864224433898926	0.7198592	No	
row_48	LGALS1	1442	2.813649892807007	0.7249928	No	
row_49	TRIM38	1529	2.632965564727783	0.7246744	No	
row_50	NECTIN2	1766	2.168687105178833	0.7120105	No	
row_51	TNF	1797	2.1334056854248047	0.71473217	No	
row_52	AXL	1914	1.9364488124847412	0.7105372	No	
row_53	STAU1	1961	1.8836686611175537	0.71147513	No	
row_54	FMR1	2070	1.7708922624588013	0.70749485	No	
row_55	PPID	2072	1.7690973281860352	0.7115446	No	
row_56	UBP1	2411	1.4002925157546997	0.6894303	No	
row_57	TYRO3	2554	1.259705901145935	0.6817052	No	
row_58	TRIM68	2602	1.219137191772461	0.68101865	No	
row_59	TMEM250	2610	1.2127457857131958	0.6833207	No	
row_60	N4BP1	2879	1.0364329814910889	0.66561407	No	
row_61	PPARA	2898	1.018770694732666	0.6666379	No	
row_62	ATG5	2956	0.9785743951797485	0.6646396	No	
row_63	TOP2A	3064	0.911012589931488	0.6587295	No	
row_64	DDX3X	3228	0.8305752873420715	0.64842695	No	
row_65	TOP2B	3276	0.8056379556655884	0.6467763	No	
row_66	MPHOSPH8	3397	0.7509308457374573	0.63951683	No	
row_67	APOBEC3D	3539	0.686524510383606	0.63053036	No	
row_68	VAPB	3764	0.6122581958770752	0.61513853	No	
row_69	TRIM27	3804	0.5992745757102966	0.61360747	No	
row_70	SNF8	3874	0.5685321092605591	0.60975206	No	
row_71	ILF3	3960	0.541549563407898	0.60463244	No	
row_72	MORC2	3996	0.5277354121208191	0.6032349	No	
