NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL22L1	1608	2.4702391624450684	-0.10974445	No	
row_1	CEBPG	1765	2.169698476791382	-0.111942604	No	
row_2	EIF2S1	3003	0.9483145475387573	-0.20053394	No	
row_3	IMPACT	3349	0.7682904601097107	-0.22303674	No	
row_4	RPL39L	4506	0.4006569981575012	-0.30795255	No	
row_5	EIF2AK4	4685	0.3582455813884735	-0.31972966	No	
row_6	RPS27L	4790	0.3397424817085266	-0.32603973	No	
row_7	RPL26L1	4848	0.32861843705177307	-0.32887474	No	
row_8	GCN1	5084	0.2866552770137787	-0.34523875	No	
row_9	ASNS	5214	0.2606354057788849	-0.35376945	No	
row_10	RPL36AL	5312	0.24372194707393646	-0.359975	No	
row_11	RPS19	5891	0.15612712502479553	-0.4026264	No	
row_12	EIF2S2	6298	0.10632472485303879	-0.43260032	No	
row_13	RPL35	6981	0.04188153147697449	-0.4835491	No	
row_14	RPS14	7900	-0.02286824770271778	-0.5522749	No	
row_15	RPS26	8205	-0.04904789850115776	-0.5748522	No	
row_16	ATF4	8408	-0.07097584009170532	-0.5896862	No	
row_17	RPL12	9332	-0.18950848281383514	-0.65805745	No	
row_18	RPS27A	9441	-0.21117375791072845	-0.6652302	No	
row_19	CEBPB	10335	-0.4871129095554352	-0.73004943	No	
row_20	ATF3	10738	-0.6877683997154236	-0.75717825	No	
row_21	FAU	10905	-0.7829902172088623	-0.76619637	No	
row_22	RPLP2	10925	-0.7973757982254028	-0.7641304	No	
row_23	RPS15	11066	-0.895615816116333	-0.77070624	No	
row_24	RPS24	11201	-1.0123951435089111	-0.776321	No	
row_25	RPL10A	11226	-1.0570340156555176	-0.77349323	No	
row_26	RPL27	11368	-1.2217673063278198	-0.7787163	No	
row_27	RPL19	11452	-1.3151278495788574	-0.7791822	Yes	
row_28	RPS21	11480	-1.3400490283966064	-0.7753405	Yes	
row_29	UBA52	11485	-1.3510831594467163	-0.7697261	Yes	
row_30	RPS12	11516	-1.376637578010559	-0.76594913	Yes	
