NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI27	1	11.338248252868652	0.088853955	Yes	
row_1	IFITM1	4	11.293049812316895	0.17727882	Yes	
row_2	IFITM3	52	10.049569129943848	0.2525938	Yes	
row_3	IFIT1	54	10.04953384399414	0.33134004	Yes	
row_4	MX1	57	9.952366828918457	0.4092496	Yes	
row_5	OAS2	140	9.122269630432129	0.4746806	Yes	
row_6	STAT1	267	8.214478492736816	0.5297092	Yes	
row_7	IFITM2	300	7.960071086883545	0.58975476	Yes	
row_8	ISG15	362	7.54296350479126	0.6443655	Yes	
row_9	SP100	544	6.240715980529785	0.67981046	Yes	
row_10	SHFL	575	6.122958660125732	0.7255963	Yes	
row_11	IFNAR2	614	5.911706924438477	0.76912844	Yes	
row_12	TRAF3	631	5.815890312194824	0.81355023	Yes	
row_13	MYD88	729	5.306214809417725	0.84793204	Yes	
row_14	STAT2	1265	3.316704511642456	0.8340353	No	
row_15	JAK1	2721	1.144771695137024	0.7344724	No	
row_16	TRIM56	3307	0.7933211922645569	0.69705415	No	
row_17	IFNAR1	3952	0.5447298288345337	0.6532848	No	
row_18	SMPD1	5997	0.14294807612895966	0.5019256	No	
row_19	IFNE	7972	-0.029258383437991142	0.35489655	No	
row_20	IRAK1	8491	-0.08042369037866592	0.31688502	No	
row_21	TYK2	9609	-0.2517455518245697	0.23553242	No	
row_22	MAVS	9711	-0.27389129996299744	0.23014611	No	
row_23	SETD2	9800	-0.2976923882961273	0.22591627	No	
row_24	TBK1	10242	-0.44938239455223083	0.1965427	No	
row_25	AZI2	10745	-0.6914650797843933	0.16451731	No	
row_26	TBKBP1	11403	-1.250596284866333	0.12531447	No	
row_27	SHMT2	11625	-1.517539143562317	0.1207305	No	
row_28	TANK	11804	-1.7938960790634155	0.12152182	No	
