NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL22L1	1608	2.4702391624450684	-0.1087413	No	
row_1	RPL39L	4506	0.4006569981575012	-0.32390523	No	
row_2	RPS27L	4790	0.3397424817085266	-0.34349486	No	
row_3	RPL26L1	4848	0.32861843705177307	-0.34620345	No	
row_4	SEPHS2	5310	0.24399040639400482	-0.37958562	No	
row_5	RPL36AL	5312	0.24372194707393646	-0.37850183	No	
row_6	EEFSEC	5504	0.21072691679000854	-0.39181137	No	
row_7	RPS19	5891	0.15612712502479553	-0.41999164	No	
row_8	SEPSECS	6074	0.13239164650440216	-0.43299925	No	
row_9	RPL35	6981	0.04188153147697449	-0.50068563	No	
row_10	SECISBP2	7224	0.02458413690328598	-0.51870155	No	
row_11	RPS14	7900	-0.02286824770271778	-0.56916976	No	
row_12	RPS26	8205	-0.04904789850115776	-0.5917149	No	
row_13	RPL12	9332	-0.18950848281383514	-0.6751838	No	
row_14	PSTK	9438	-0.21050243079662323	-0.6820505	No	
row_15	RPS27A	9441	-0.21117375791072845	-0.6811964	No	
row_16	FAU	10905	-0.7829902172088623	-0.7870947	No	
row_17	RPLP2	10925	-0.7973757982254028	-0.7847274	No	
row_18	RPS15	11066	-0.895615816116333	-0.7909594	No	
row_19	RPS24	11201	-1.0123951435089111	-0.7961866	No	
row_20	RPL10A	11226	-1.0570340156555176	-0.7929595	No	
row_21	RPL27	11368	-1.2217673063278198	-0.7977158	Yes	
row_22	SARS1	11442	-1.3001457452774048	-0.79700434	Yes	
row_23	RPL19	11452	-1.3151278495788574	-0.7914262	Yes	
row_24	RPS21	11480	-1.3400490283966064	-0.78707826	Yes	
row_25	UBA52	11485	-1.3510831594467163	-0.78095454	Yes	
row_26	RPS12	11516	-1.376637578010559	-0.77665746	Yes	
row_27	RPL30	11589	-1.46909761428833	-0.77506787	Yes	
row_28	RPS13	11706	-1.623005986213684	-0.77604336	Yes	
row_29	RPS3	11730	-1.67835533618927	-0.7697873	Yes	
row_30	RPS29	11734	-1.6893092393875122	-0.76198065	Yes	
row_31	RPL7A	11755	-1.7281849384307861	-0.7552629	Yes	
row_32	RPS6	11847	-1.8637542724609375	-0.7532206	Yes	
row_33	RPL28	11878	-1.9308435916900635	-0.74628866	Yes	
row_34	RPL21	11886	-1.9417338371276855	-0.7375816	Yes	
row_35	RPL24	11934	-2.017127513885498	-0.73151326	Yes	
row_36	RPL38	11959	-2.0621509552001953	-0.72350746	Yes	
row_37	RPS23	11988	-2.1111056804656982	-0.71556866	Yes	
row_38	RPL15	11997	-2.126142978668213	-0.70605975	Yes	
row_39	RPL37	12039	-2.210381031036377	-0.69862306	Yes	
row_40	RPL23A	12052	-2.240267515182495	-0.6888713	Yes	
row_41	RPL8	12053	-2.240267515182495	-0.67822045	Yes	
row_42	RPL39	12090	-2.3081893920898438	-0.66994405	Yes	
row_43	RPS10	12091	-2.309427499771118	-0.6589644	Yes	
row_44	RPL6	12131	-2.4115078449249268	-0.65042156	Yes	
