NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS1	110	9.348076820373535	0.07290423	Yes	
row_1	OAS3	124	9.203524589538574	0.15178768	Yes	
row_2	OAS2	140	9.122269630432129	0.229817	Yes	
row_3	IRF9	146	9.089801788330078	0.30831033	Yes	
row_4	IRF7	204	8.62109375	0.37885928	Yes	
row_5	DDX58	227	8.49681282043457	0.45093992	Yes	
row_6	IFIH1	228	8.485713005065918	0.5245648	Yes	
row_7	STAT1	267	8.214478492736816	0.59300274	Yes	
row_8	EIF2AK2	381	7.349202632904053	0.64834034	Yes	
row_9	TMPRSS2	397	7.2539238929748535	0.71015924	Yes	
row_10	TLR3	501	6.54319953918457	0.7592494	Yes	
row_11	IFNAR2	614	5.911706924438477	0.8021894	Yes	
row_12	TRAF3	631	5.815890312194824	0.8514569	Yes	
row_13	MYD88	729	5.306214809417725	0.890262	Yes	
row_14	STAT2	1265	3.316704511642456	0.87914324	No	
row_15	JAK1	2721	1.144771695137024	0.78057456	No	
row_16	IFNAR1	3952	0.5447298288345337	0.6935782	No	
row_17	TLR4	5640	0.19117839634418488	0.5694353	No	
row_18	IRF3	5858	0.15831851959228516	0.55462694	No	
row_19	IRAK4	7641	-0.004340376704931259	0.4217787	No	
row_20	TRAF6	9140	-0.15904287993907928	0.31145093	No	
row_21	TYK2	9609	-0.2517455518245697	0.27873585	No	
row_22	MAVS	9711	-0.27389129996299744	0.27358052	No	
row_23	TBK1	10242	-0.44938239455223083	0.23795676	No	
