NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL22L1	1608	2.4702391624450684	-0.10893795	No	
row_1	DNAJC3	3183	0.8550953269004822	-0.22285578	No	
row_2	RPL39L	4506	0.4006569981575012	-0.3200149	No	
row_3	RPS27L	4790	0.3397424817085266	-0.3396302	No	
row_4	RPL26L1	4848	0.32861843705177307	-0.34236845	No	
row_5	RPL36AL	5312	0.24372194707393646	-0.37591434	No	
row_6	RPS19	5891	0.15612712502479553	-0.41848266	No	
row_7	RPL35	6981	0.04188153147697449	-0.49986053	No	
row_8	RPS14	7900	-0.02286824770271778	-0.568518	No	
row_9	RPS26	8205	-0.04904789850115776	-0.591061	No	
row_10	RPL12	9332	-0.18950848281383514	-0.6745224	No	
row_11	RPS27A	9441	-0.21117375791072845	-0.6816282	No	
row_12	FAU	10905	-0.7829902172088623	-0.78756744	No	
row_13	RPLP2	10925	-0.7973757982254028	-0.78527486	No	
row_14	RPS15	11066	-0.895615816116333	-0.7915881	No	
row_15	RPS24	11201	-1.0123951435089111	-0.7969077	No	
row_16	RPL10A	11226	-1.0570340156555176	-0.7937796	No	
row_17	RPL27	11368	-1.2217673063278198	-0.7986479	No	
row_18	RPL19	11452	-1.3151278495788574	-0.7987365	Yes	
row_19	RPS21	11480	-1.3400490283966064	-0.7945143	Yes	
row_20	UBA52	11485	-1.3510831594467163	-0.7885178	Yes	
row_21	RPS12	11516	-1.376637578010559	-0.78434974	Yes	
row_22	RPL30	11589	-1.46909761428833	-0.7828969	Yes	
row_23	RPS13	11706	-1.623005986213684	-0.7840227	Yes	
row_24	RPS3	11730	-1.67835533618927	-0.7779243	Yes	
row_25	RPS29	11734	-1.6893092393875122	-0.7702767	Yes	
row_26	RPL7A	11755	-1.7281849384307861	-0.7637214	Yes	
row_27	RPS6	11847	-1.8637542724609375	-0.7618526	Yes	
row_28	RPL28	11878	-1.9308435916900635	-0.755102	Yes	
row_29	RPL21	11886	-1.9417338371276855	-0.7465777	Yes	
row_30	RPL24	11934	-2.017127513885498	-0.74069834	Yes	
row_31	RPL38	11959	-2.0621509552001953	-0.7328863	Yes	
row_32	RPS23	11988	-2.1111056804656982	-0.72514576	Yes	
row_33	RPL15	11997	-2.126142978668213	-0.71583706	Yes	
row_34	RPL37	12039	-2.210381031036377	-0.7086077	Yes	
row_35	RPL23A	12052	-2.240267515182495	-0.69906676	Yes	
row_36	RPL8	12053	-2.240267515182495	-0.68862695	Yes	
row_37	RPL39	12090	-2.3081893920898438	-0.68056726	Yes	
row_38	RPS10	12091	-2.309427499771118	-0.66980517	Yes	
row_39	RPL6	12131	-2.4115078449249268	-0.6614887	Yes	
row_40	RPLP0	12151	-2.4509427547454834	-0.65149033	Yes	
row_41	RPL18A	12176	-2.5368850231170654	-0.641466	Yes	
row_42	RPLP1	12184	-2.54803466796875	-0.63011634	Yes	
row_43	RPL7	12187	-2.553942918777466	-0.61836463	Yes	
row_44	RPL4	12199	-2.5930979251861572	-0.60710454	Yes	
row_45	RPS15A	12258	-2.7330992221832275	-0.5987127	Yes	
row_46	RPS25	12274	-2.7704403400421143	-0.58692586	Yes	
row_47	RPS11	12288	-2.8069539070129395	-0.574819	Yes	
row_48	RPL27A	12297	-2.8155601024627686	-0.5622976	Yes	
row_49	RPL18	12305	-2.8328404426574707	-0.5496207	Yes	
row_50	RPS5	12310	-2.8434810638427734	-0.5366695	Yes	
row_51	RPL26	12334	-2.921002149581909	-0.5247802	Yes	
row_52	RPL17	12342	-2.946392297744751	-0.5115742	Yes	
row_53	RPS16	12370	-3.0238497257232666	-0.4995053	Yes	
row_54	RPS9	12407	-3.1494381427764893	-0.4875253	Yes	
row_55	RPS2	12449	-3.295194149017334	-0.47524065	Yes	
row_56	RPS7	12470	-3.3674933910369873	-0.461046	Yes	
row_57	RPS4X	12476	-3.3888471126556396	-0.4456283	Yes	
row_58	RPL14	12486	-3.432732343673706	-0.43030566	Yes	
row_59	RPS27	12488	-3.4427130222320557	-0.41433728	Yes	
row_60	RPL41	12502	-3.497469902038574	-0.3990126	Yes	
row_61	RPL13	12515	-3.539088010787964	-0.38341907	Yes	
row_62	RPS18	12527	-3.5865318775177	-0.36752954	Yes	
row_63	RPL34	12548	-3.6634202003479004	-0.35195586	Yes	
row_64	RPL35A	12599	-3.839956760406494	-0.3378067	Yes	
row_65	RPL13A	12601	-3.8501341342926025	-0.31993973	Yes	
row_66	RPL11	12606	-3.871591091156006	-0.30219746	Yes	
row_67	RPS20	12612	-3.9068212509155273	-0.28436592	Yes	
row_68	RPL37A	12625	-3.974315643310547	-0.2667442	Yes	
row_69	RPL36A	12630	-4.0011677742004395	-0.2483981	Yes	
row_70	RPS28	12649	-4.0779032707214355	-0.2307431	Yes	
row_71	RPL10	12695	-4.315329074859619	-0.21400414	Yes	
row_72	RPL3	12698	-4.330018043518066	-0.19397576	Yes	
row_73	RPL32	12703	-4.3558197021484375	-0.17397696	Yes	
row_74	RPS3A	12704	-4.355922698974609	-0.15367804	Yes	
row_75	RPS8	12721	-4.435816287994385	-0.13420533	Yes	
row_76	RPL23	12750	-4.590398788452148	-0.11491112	Yes	
row_77	RPL29	12752	-4.5968194007873535	-0.09356452	Yes	
row_78	RPL31	12755	-4.601333141326904	-0.072271794	Yes	
row_79	RPL22	12778	-4.65726375579834	-0.05221655	Yes	
row_80	RPL36	12820	-4.852655410766602	-0.032673992	Yes	
row_81	RPL5	12847	-4.969137191772461	-0.011465023	Yes	
row_82	GRSF1	12960	-5.519998073577881	0.0058690477	Yes	
row_83	RPSA	13105	-6.327545642852783	0.024569346	Yes	
