NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
LIPID PARTICLES COMPOSITION%WIKIPATHWAYS_20220310%WP3601%HOMO SAPIENS	7		Rejected!	
WNT SIGNALING IN KIDNEY DISEASE%WIKIPATHWAYS_20220310%WP4150%HOMO SAPIENS	30	20		
DISORDERS OF FOLATE METABOLISM AND TRANSPORT%WIKIPATHWAYS_20220310%WP4259%HOMO SAPIENS	10		Rejected!	
PURINE METABOLISM%WIKIPATHWAYS_20220310%WP4792%HOMO SAPIENS	11		Rejected!	
ULTRACONSERVED REGION 339 MODULATION OF TUMOR SUPPRESSOR MICRORNAS IN CANCER%WIKIPATHWAYS_20220310%WP4284%HOMO SAPIENS	1		Rejected!	
HIPPO SIGNALING REGULATION PATHWAYS%WIKIPATHWAYS_20220310%WP4540%HOMO SAPIENS	76	53		
PHOTODYNAMIC THERAPY-INDUCED HIF-1 SURVIVAL SIGNALING%WIKIPATHWAYS_20220310%WP3614%HOMO SAPIENS	29	21		
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20220310%WP100%HOMO SAPIENS	16		Rejected!	
NEUROINFLAMMATION%WIKIPATHWAYS_20220310%WP4919%HOMO SAPIENS	13		Rejected!	
ASPIRIN AND MIRNAS%WIKIPATHWAYS_20220310%WP4707%HOMO SAPIENS	7		Rejected!	
PDGFR-BETA PATHWAY%WIKIPATHWAYS_20220310%WP3972%HOMO SAPIENS	23	21		
ENDOPLASMIC RETICULUM STRESS RESPONSE IN CORONAVIRUS INFECTION%WIKIPATHWAYS_20220310%WP4861%HOMO SAPIENS	43	33		
MONOAMINE GPCRS%WIKIPATHWAYS_20220310%WP58%HOMO SAPIENS	32		Rejected!	
AUTOPHAGY%WIKIPATHWAYS_20220310%WP4923%HOMO SAPIENS	26	21		
MRNA VACCINE ACTIVATION OF DENDRITIC CELL AND INDUCTION OF IFN-1%WIKIPATHWAYS_20220310%WP5187%HOMO SAPIENS	10		Rejected!	
HYPOXIA-MEDIATED EMT AND STEMNESS%WIKIPATHWAYS_20220310%WP2943%HOMO SAPIENS	1		Rejected!	
OSTEOBLAST SIGNALING%WIKIPATHWAYS_20220310%WP322%HOMO SAPIENS	12		Rejected!	
DISORDERS IN KETONE BODY SYNTHESIS%WIKIPATHWAYS_20220310%WP5175%HOMO SAPIENS	2		Rejected!	
NANOMATERIAL-INDUCED INFLAMMASOME ACTIVATION%WIKIPATHWAYS_20220310%WP3890%HOMO SAPIENS	5		Rejected!	
TCA CYCLE IN SENESCENCE%WIKIPATHWAYS_20220310%WP5050%HOMO SAPIENS	7		Rejected!	
NETWORK MAP OF SARS-COV-2 SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP5115%HOMO SAPIENS	200	109		
IL-10 ANTI-INFLAMMATORY SIGNALING PATHWAY %WIKIPATHWAYS_20220310%WP4495%HOMO SAPIENS	11		Rejected!	
HEMESYNTHESIS DEFECTS AND PORPHYRIAS%WIKIPATHWAYS_20220310%WP5169%HOMO SAPIENS	8		Rejected!	
PEROXISOMAL BETA-OXIDATION OF TETRACOSANOYL-COA%WIKIPATHWAYS_20220310%WP1941%HOMO SAPIENS	1		Rejected!	
NUCLEOTIDE EXCISION REPAIR%WIKIPATHWAYS_20220310%WP4753%HOMO SAPIENS	33	32		
HYPOTHESIZED PATHWAYS IN PATHOGENESIS OF CARDIOVASCULAR DISEASE%WIKIPATHWAYS_20220310%WP3668%HOMO SAPIENS	24	19		
GLYCINE METABOLISM%WIKIPATHWAYS_20220310%WP1495%HOMO SAPIENS	2		Rejected!	
INCLUSION BODY MYOSITIS%WIKIPATHWAYS_20220310%WP5120%HOMO SAPIENS	9		Rejected!	
MIRNA DEGRADING ENZYMES%WIKIPATHWAYS_20220310%WP4316%HOMO SAPIENS	3		Rejected!	
LEUKOCYTE-INTRINSIC HIPPO PATHWAY FUNCTIONS%WIKIPATHWAYS_20220310%WP4542%HOMO SAPIENS	28	16		
MODEL FOR REGULATION OF MSMP EXPRESSION IN CANCER CELLS AND ITS PROANGIOGENIC ROLE IN OVARIAN TUMORS%WIKIPATHWAYS_20220310%WP4397%HOMO SAPIENS	3		Rejected!	
DUAL HIJACK MODEL OF VIF IN HIV INFECTION%WIKIPATHWAYS_20220310%WP3300%HOMO SAPIENS	7		Rejected!	
FATTY ACID TRANSPORTERS%WIKIPATHWAYS_20220310%WP5061%HOMO SAPIENS	13		Rejected!	
CYTOSOLIC DNA-SENSING PATHWAY%WIKIPATHWAYS_20220310%WP4655%HOMO SAPIENS	72	47		
SMALL CELL LUNG CANCER%WIKIPATHWAYS_20220310%WP4658%HOMO SAPIENS	84	75		
SEROTONIN HTR1 GROUP AND FOS PATHWAY%WIKIPATHWAYS_20220310%WP722%HOMO SAPIENS	27	21		
INTERACTIONS OF NATURAL KILLER CELLS IN PANCREATIC CANCER%WIKIPATHWAYS_20220310%WP5092%HOMO SAPIENS	25		Rejected!	
COPPER METABOLISM%WIKIPATHWAYS_20220310%WP5189%HOMO SAPIENS	3		Rejected!	
HYPERTROPHY MODEL%WIKIPATHWAYS_20220310%WP516%HOMO SAPIENS	19		Rejected!	
INTERLEUKIN-1 INDUCED ACTIVATION OF NF-KB%WIKIPATHWAYS_20220310%WP3656%HOMO SAPIENS	10		Rejected!	
FIBRIN COMPLEMENT RECEPTOR 3 SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP4136%HOMO SAPIENS	38	24		
GLIAL CELL DIFFERENTIATION%WIKIPATHWAYS_20220310%WP2276%HOMO SAPIENS	5		Rejected!	
MELATONIN METABOLISM AND EFFECTS%WIKIPATHWAYS_20220310%WP3298%HOMO SAPIENS	33	23		
TYPE I INTERFERON INDUCTION AND SIGNALING DURING SARS-COV-2 INFECTION%WIKIPATHWAYS_20220310%WP4868%HOMO SAPIENS	29	24		
PHOTODYNAMIC THERAPY-INDUCED UNFOLDED PROTEIN RESPONSE%WIKIPATHWAYS_20220310%WP3613%HOMO SAPIENS	25	19		
P38 MAPK SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP400%HOMO SAPIENS	29	28		
