NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%156842	EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%156842	Details ...	89	-0.8093036	-2.4474304	0.0	0.0	0.0	1983	tags=79%, list=15%, signal=92%	
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902	PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902	Details ...	84	-0.8090434	-2.4329343	0.0	0.0	0.0	1983	tags=80%, list=15%, signal=93%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	Details ...	96	-0.80171794	-2.4187212	0.0	0.0	0.0	1983	tags=74%, list=15%, signal=86%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	Details ...	114	-0.78266233	-2.4166021	0.0	0.0	0.0	1983	tags=67%, list=15%, signal=78%	
SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557	SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557	Details ...	88	-0.80352443	-2.4142988	0.0	0.0	0.0	2067	tags=76%, list=15%, signal=89%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	Details ...	106	-0.7914397	-2.4098227	0.0	0.0	0.0	1983	tags=71%, list=15%, signal=82%	
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	Details ...	84	-0.8048651	-2.4019148	0.0	0.0	0.0	1983	tags=79%, list=15%, signal=92%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	Details ...	107	-0.7847478	-2.4002392	0.0	0.0	0.0	1983	tags=69%, list=15%, signal=80%	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220310%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220310%WP477%HOMO SAPIENS	Details ...	80	-0.80607134	-2.4000285	0.0	0.0	0.0	1983	tags=80%, list=15%, signal=93%	
EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72613	EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72613	Details ...	114	-0.78266233	-2.398148	0.0	0.0	0.0	1983	tags=67%, list=15%, signal=78%	
