NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.6	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.6	Details ...	54	0.88631576	2.2721305	0.0	0.0	0.0	602	tags=61%, list=4%, signal=64%	
NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	Details ...	64	0.85088706	2.2359776	0.0	0.0	0.0	1000	tags=55%, list=7%, signal=59%	
DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	Details ...	131	0.7700456	2.2141242	0.0	0.0	0.0	1097	tags=45%, list=8%, signal=49%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	131	0.7700456	2.2103112	0.0	0.0	0.0	1097	tags=45%, list=8%, signal=49%	
INTERFERON SIGNALING%REACTOME%R-HSA-913531.2	INTERFERON SIGNALING%REACTOME%R-HSA-913531.2	Details ...	155	0.7342326	2.1397343	0.0	0.0	0.0	1000	tags=40%, list=7%, signal=43%	
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	Details ...	45	0.86323094	2.1237762	0.0	0.0	0.0	969	tags=62%, list=7%, signal=67%	
REGULATION OF VIRAL LIFE CYCLE%GOBP%GO:1903900	REGULATION OF VIRAL LIFE CYCLE%GOBP%GO:1903900	Details ...	100	0.7598068	2.1113396	0.0	0.0	0.0	1000	tags=43%, list=7%, signal=46%	
REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045069	REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045069	Details ...	68	0.79487973	2.105573	0.0	0.0	0.0	969	tags=44%, list=7%, signal=47%	
REGULATION OF VIRAL PROCESS%GOBP%GO:0050792	REGULATION OF VIRAL PROCESS%GOBP%GO:0050792	Details ...	116	0.72984266	2.0581918	0.0	0.0	0.0	1000	tags=39%, list=7%, signal=42%	
INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 79%877300	INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 79%877300	Details ...	65	0.76531297	2.0145395	0.0	0.0	0.0	1118	tags=49%, list=8%, signal=53%	
NEGATIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045824	NEGATIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045824	Details ...	46	0.8022417	1.9968073	0.0	0.0	0.0	1265	tags=46%, list=9%, signal=50%	
NEGATIVE REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050777	NEGATIVE REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050777	Details ...	79	0.73897123	1.9946128	0.0	0.0	0.0	1265	tags=38%, list=9%, signal=42%	
DNA REPLICATION%REACTOME%R-HSA-69306.5	DNA REPLICATION%REACTOME%R-HSA-69306.5	Details ...	133	0.6884796	1.9869723	0.0	0.0	0.0	2453	tags=44%, list=18%, signal=53%	
TYPE I INTERFERON INDUCTION AND SIGNALING DURING SARS-COV-2 INFECTION%WIKIPATHWAYS_20220310%WP4868%HOMO SAPIENS	TYPE I INTERFERON INDUCTION AND SIGNALING DURING SARS-COV-2 INFECTION%WIKIPATHWAYS_20220310%WP4868%HOMO SAPIENS	Details ...	24	0.890262	1.9780436	0.0	0.0	0.0	729	tags=58%, list=5%, signal=62%	
APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME DATABASE ID RELEASE 79%174143	APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME DATABASE ID RELEASE 79%174143	Details ...	85	0.71429944	1.9567765	0.0	0.0	0.0	2820	tags=56%, list=21%, signal=71%	
SYNTHESIS OF DNA%REACTOME%R-HSA-69239.2	SYNTHESIS OF DNA%REACTOME%R-HSA-69239.2	Details ...	118	0.6876498	1.9489237	0.0	1.4610506E-4	0.002	2525	tags=45%, list=19%, signal=55%	
RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	Details ...	29	0.84793204	1.9479368	0.0	1.3751064E-4	0.002	729	tags=48%, list=5%, signal=51%	
ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176814.3	ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176814.3	Details ...	74	0.7244694	1.9443685	0.0	1.2987116E-4	0.002	2525	tags=55%, list=19%, signal=68%	
APC C:CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C:CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1%REACTOME%R-HSA-174178.3	APC C:CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C:CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1%REACTOME%R-HSA-174178.3	Details ...	71	0.71907794	1.9438217	0.0	1.2303583E-4	0.002	2525	tags=56%, list=19%, signal=69%	
NEGATIVE REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002832	NEGATIVE REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002832	Details ...	74	0.7372528	1.9370894	0.0	1.16884046E-4	0.002	1265	tags=34%, list=9%, signal=37%	
REGULATION OF MITOTIC CELL CYCLE%REACTOME DATABASE ID RELEASE 79%453276	REGULATION OF MITOTIC CELL CYCLE%REACTOME DATABASE ID RELEASE 79%453276		85	0.71429944	1.9318609	0.0	1.1131814E-4	0.002	2820	tags=56%, list=21%, signal=71%	
REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME%R-HSA-176408.4	REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME%R-HSA-176408.4		78	0.7196052	1.9301226	0.0	1.06258216E-4	0.002	2525	tags=53%, list=19%, signal=64%	
NEGATIVE REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002698	NEGATIVE REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002698		40	0.7882927	1.9293914	0.0	1.016383E-4	0.002	1091	tags=43%, list=8%, signal=46%	
SARS-COV-2 INNATE IMMUNITY EVASION AND CELL-SPECIFIC IMMUNE RESPONSE%WIKIPATHWAYS_20220310%WP5039%HOMO SAPIENS	SARS-COV-2 INNATE IMMUNITY EVASION AND CELL-SPECIFIC IMMUNE RESPONSE%WIKIPATHWAYS_20220310%WP5039%HOMO SAPIENS		44	0.7664596	1.9278432	0.0	9.7403376E-5	0.002	2063	tags=52%, list=15%, signal=62%	
SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME%R-HSA-69052.4	SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME%R-HSA-69052.4		89	0.6975673	1.9263251	0.0	9.350723E-5	0.002	2525	tags=47%, list=19%, signal=58%	
ORC1 REMOVAL FROM CHROMATIN%REACTOME DATABASE ID RELEASE 79%68949	ORC1 REMOVAL FROM CHROMATIN%REACTOME DATABASE ID RELEASE 79%68949		68	0.72175705	1.9193255	0.0	8.9910805E-5	0.002	2446	tags=53%, list=18%, signal=64%	
APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT%REACTOME DATABASE ID RELEASE 79%179419	APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT%REACTOME DATABASE ID RELEASE 79%179419		71	0.7196458	1.917315	0.0	8.658077E-5	0.002	2525	tags=54%, list=19%, signal=66%	
APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 79%176409	APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 79%176409		73	0.72353894	1.9139893	0.0	8.34886E-5	0.002	2525	tags=55%, list=19%, signal=67%	
