NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GBP2	11	11.067392349243164	0.03797695	Yes	
row_1	GBP4	60	9.814299583435059	0.068793245	Yes	
row_2	HLA-F	98	9.43630599975586	0.09910718	Yes	
row_3	OAS1	110	9.348076820373535	0.1310566	Yes	
row_4	OAS3	124	9.203524589538574	0.16234966	Yes	
row_5	HLA-B	128	9.166566848754883	0.19426115	Yes	
row_6	OAS2	140	9.122269630432129	0.22541894	Yes	
row_7	IRF9	146	9.089801788330078	0.2569117	Yes	
row_8	OASL	156	9.010950088500977	0.28782883	Yes	
row_9	TRIM22	162	8.971125602722168	0.31890556	Yes	
row_10	CD44	191	8.702414512634277	0.34731984	Yes	
row_11	IRF7	204	8.62109375	0.37664583	Yes	
row_12	HLA-E	239	8.400335311889648	0.40355226	Yes	
row_13	HLA-C	262	8.280324935913086	0.4309356	Yes	
row_14	TRIM14	277	8.189796447753906	0.45859995	Yes	
row_15	GBP5	318	7.87019681930542	0.48319906	Yes	
row_16	IRF1	388	7.305735111236572	0.5036501	Yes	
row_17	HLA-A	404	7.185835838317871	0.52772003	Yes	
row_18	TRIM25	407	7.14782190322876	0.55262905	Yes	
row_19	TRIM2	410	7.12200927734375	0.5774476	Yes	
row_20	IFNGR1	414	7.099472999572754	0.6021123	Yes	
row_21	TRIM26	433	6.965139865875244	0.6251841	Yes	
row_22	GBP1	473	6.709523677825928	0.64578897	Yes	
row_23	B2M	479	6.6450066566467285	0.6687108	Yes	
row_24	PML	539	6.295128345489502	0.6863669	Yes	
row_25	SP100	544	6.240715980529785	0.70794624	Yes	
row_26	TRIM21	573	6.135526657104492	0.7273616	Yes	
row_27	TRIM8	709	5.404795169830322	0.7362116	Yes	
row_28	TRIM34	869	4.689650058746338	0.74075925	Yes	
row_29	IRF2	976	4.307908058166504	0.747933	Yes	
row_30	TRIM5	1000	4.180973052978516	0.76087016	Yes	
row_31	IFNGR2	1118	3.76363468170166	0.76531297	Yes	
row_32	GBP3	1468	2.77229905128479	0.7489269	No	
row_33	TRIM38	1529	2.632965564727783	0.75366944	No	
row_34	SUMO1	1784	2.1464364528656006	0.7421952	No	
row_35	HLA-H	1991	1.8442329168319702	0.73325187	No	
row_36	IRF6	2123	1.7126938104629517	0.7294574	No	
row_37	PRKCD	2599	1.2219433784484863	0.6982113	No	
row_38	TRIM68	2602	1.219137191772461	0.7023357	No	
row_39	JAK1	2721	1.144771695137024	0.69752264	No	
row_40	JAK2	3422	0.7417774796485901	0.6477632	No	
row_41	PTPN1	3647	0.6507602334022522	0.63328946	No	
row_42	TRIM62	4618	0.37213486433029175	0.5620381	No	
row_43	TRIM35	4920	0.3166980743408203	0.5406336	No	
row_44	TRIM45	5094	0.2846481204032898	0.5286912	No	
row_45	IFI30	5246	0.25490710139274597	0.51829004	No	
row_46	MT2A	5385	0.23083853721618652	0.5087769	No	
row_47	PTPN6	5724	0.17987248301506042	0.48412514	No	
row_48	IRF3	5858	0.15831851959228516	0.47473177	No	
row_49	IRF5	7746	-0.011546909809112549	0.3336248	No	
row_50	MID1	7977	-0.029308287426829338	0.31652358	No	
row_51	SOCS3	8270	-0.05458344519138336	0.2948734	No	
row_52	TRIM46	8582	-0.08984574675559998	0.2719256	No	
row_53	CAMK2D	9025	-0.1434604674577713	0.23936696	No	
row_54	CAMK2G	9113	-0.1557314246892929	0.23340534	No	
row_55	PIAS1	9276	-0.1804879754781723	0.22192049	No	
row_56	TRIM3	9720	-0.27668070793151855	0.18975411	No	
row_57	HLA-DPB1	9811	-0.3010280728340149	0.18407746	No	
row_58	CAMK2B	10474	-0.55259770154953	0.1364972	No	
row_59	IRF8	11354	-1.2058395147323608	0.07497548	No	
row_60	PTPN11	11514	-1.3760039806365967	0.06790625	No	
row_61	HLA-DPA1	11992	-2.1157774925231934	0.03964413	No	
row_62	TRIM6	12629	-3.9839296340942383	0.0060381345	No	
row_63	ICAM1	13113	-6.37330436706543	-0.007746872	No	
row_64	VCAM1	13367	-9.015939712524414	0.004936577	No	
